participant_id,participant_code,included,batch_id,kind,condition,order_index,view_duration_ms,observed_effective_cycle_hz,observed_full_cycle_hz,dropped_frame_rate,long_frame_intervals,max_frame_interval_ms,rating_base_below_50hz,drop_over_1pct_review_only
6,P001,True,july,typing,masked,0,,60.00060000600027,48.00048000480022,0,0,4.400000000023283,False,False
6,P001,True,july,typing,control,1,,240.00160034407455,240.00160034407455,0,0,4.699999999953434,False,False
6,P001,True,july,typing,control,2,,240.00160034407455,240.00160034407455,0,0,4.5,False,False
6,P001,True,july,typing,masked,3,,60.00090001350034,48.00072001080027,0,0,4.5,False,False
6,P001,True,july,rating,n3_mask_noise,0,25180,78.78749938049903,78.78749938049903,0.015000815261699005,2,383.29999999993015,False,True
6,P001,True,july,rating,n4_mask_noise,1,16599,58.531670260329825,58.531670260329825,0.0242409402546523,1,420.9000000000233,False,True
6,P001,True,july,rating,n2_mask_noise,2,15113,117.76162035834848,117.76162035834848,0.0183982683982684,1,291.60000000009313,False,True
6,P001,True,july,rating,n4_mask_only,3,15351,59.40444026025074,59.40444026025074,0.009940891993551854,1,158.30000000004657,False,False
6,P001,True,july,rating,control_anchor,4,10814,240.0029607150137,240.0029607150137,0,0,4.5,False,False
6,P001,True,july,rating,deployed_full,5,11278,47.08871332614067,37.67097066091254,0.2138291690877397,2,3091.600000000093,True,True
7,P002,True,july,typing,control,0,,240.00160034407384,240.00160034407384,0,0,4.7000000000116415,False,False
7,P002,True,july,typing,masked,1,,60.00060000600001,48.00048000480001,0,0,4.600000000005821,False,False
7,P002,True,july,typing,masked,2,,60.000700154033865,48.00056012322709,0,0,4.600000000005821,False,False
7,P002,True,july,typing,control,3,,240.0024000240004,240.0024000240004,0,0,4.5,False,False
7,P002,True,july,rating,n4_mask_noise,0,17397,59.68586986364048,59.68586986364048,0.005243088655862726,2,91.70000000001164,False,False
7,P002,True,july,rating,n4_mask_only,1,13983,59.91102605665494,59.91102605665494,0.001487652484379649,1,25.099999999976717,False,False
7,P002,True,july,rating,n3_mask_noise,2,11794,79.60677458994473,79.60677458994473,0.00492091388400703,1,62.600000000034925,False,False
7,P002,True,july,rating,deployed_full,3,12166,58.20631236390615,46.56504989112492,0.029587765957446808,2,375,False,True
7,P002,True,july,rating,n2_mask_noise,4,11002,119.72763210387023,119.72763210387023,0.0022667170381564035,1,29.199999999953434,False,False
7,P002,True,july,rating,control_anchor,5,10871,240.00294369267826,240.00294369267826,0,0,4.300000000046566,False,False
8,P003,True,july,typing,masked,0,,60.00060000600005,48.00048000480004,0,0,4.400000000008731,False,False
8,P003,True,july,typing,control,1,,240.00160034407418,240.00160034407418,0,0,4.600000000005821,False,False
8,P003,True,july,typing,control,2,,240.00280061613546,240.00280061613546,0,0,4.600000000005821,False,False
8,P003,True,july,typing,masked,3,,60.000400086018544,48.00032006881484,0,0,4.600000000005821,False,False
8,P003,True,july,rating,n4_mask_noise,0,15193,59.67301738976771,59.67301738976771,0.00545404963185165,1,87.60000000000582,False,False
8,P003,True,july,rating,n4_mask_only,1,28047,59.9647266313933,59.9647266313933,0.0005938242280285036,1,20.79999999998836,False,False
8,P003,True,july,rating,n3_mask_noise,2,14387,79.70076447201122,79.70076447201122,0.0037496394577444477,1,58.40000000002328,False,False
8,P003,True,july,rating,deployed_full,3,15009,58.52152721364744,46.81722177091795,0.02437703141928494,2,379.20000000001164,False,True
8,P003,True,july,rating,n2_mask_noise,4,10370,119.7599030377654,119.7599030377654,0.002004008016032064,1,25.099999999976717,False,False
8,P003,True,july,rating,control_anchor,5,10582,240.00378107571603,240.00378107571603,0,0,4.400000000023283,False,False
9,P004,True,july,typing,control,0,,240.00240002400005,240.00240002400005,0,0,4.599999999976717,False,False
9,P004,True,july,typing,masked,1,,60.000400086018544,48.00032006881484,0,0,4.5,False,False
9,P004,True,july,typing,masked,2,,60.00040008601846,48.000320068814766,0,0,4.5,False,False
9,P004,True,july,typing,control,3,,240.00160034407384,240.00160034407384,0,0,4.399999999994179,False,False
9,P004,True,july,rating,n4_mask_only,0,12906,59.76864249168492,59.76864249168492,0.0038585209003215433,1,54.19999999998254,False,False
9,P004,True,july,rating,deployed_full,1,10748,58.108631609293965,46.48690528743517,0.031167855801727377,1,354.0999999999767,False,True
9,P004,True,july,rating,n4_mask_noise,2,11229,59.80118049083566,59.80118049083566,0.0033284023668639054,1,41.600000000034925,False,False
9,P004,True,july,rating,control_anchor,3,10575,240.00302723566057,240.00302723566057,0,0,4.600000000034925,False,False
9,P004,True,july,rating,n3_mask_noise,4,10641,79.56460652280265,79.56460652280265,0.005451713395638629,1,62.5,False,False
9,P004,True,july,rating,n2_mask_noise,5,11073,119.10416461288919,119.10416461288919,0.0074682598954443615,1,87.5,False,False
10,P005,True,july,typing,masked,0,,60.00040008601846,48.000320068814766,0,0,4.7999999999883585,False,False
10,P005,True,july,typing,control,1,,240.0004000840171,240.0004000840171,0,0,4.599999999976717,False,False
10,P005,True,july,typing,control,2,,240.00160034407384,240.00160034407384,0,0,4.400000000023283,False,False
10,P005,True,july,typing,masked,3,,60.00070015403378,48.000560123227025,0,0,4.400000000023283,False,False
10,P005,True,july,rating,n4_mask_only,0,18961,59.84283858344338,59.84283858344338,0.0026298487836949377,1,54.100000000034925,False,False
10,P005,True,july,rating,deployed_full,1,16646,58.76451829275472,47.01161463420378,0.020353114271701816,1,354.20000000001164,False,True
10,P005,True,july,rating,n4_mask_noise,2,15393,59.80628912901298,59.80628912901298,0.0032371189641219314,1,54.20000000001164,False,False
10,P005,True,july,rating,control_anchor,3,10599,240.00302009305764,240.00302009305764,0,0,4.5,False,False
10,P005,True,july,rating,n3_mask_noise,4,16148,79.56987922868984,79.56987922868984,0.005388760585065435,1,91.59999999997672,False,False
10,P005,True,july,rating,n2_mask_noise,5,11328,119.56168045942692,119.56168045942692,0.003664345914254306,1,45.90000000002328,False,False
11,P006,True,july,typing,control,0,,240.00120000600046,240.00120000600046,0,0,4.5,False,False
11,P006,True,july,typing,masked,1,,60.00040008601846,48.000320068814766,0,0,4.5,False,False
11,P006,True,july,typing,masked,2,,60.00070015403396,48.00056012322717,0,0,4.600000000034925,False,False
11,P006,True,july,typing,control,3,,240.00160034407455,240.00160034407455,0,0,4.600000000093132,False,False
11,P006,True,july,rating,deployed_full,0,16203,58.569388456046006,46.85551076483681,0.023606228026117528,2,395.89999999990687,False,True
11,P006,True,july,rating,control_anchor,1,10543,240.00227760168488,240.00227760168488,0,0,4.300000000046566,False,False
11,P006,True,july,rating,n4_mask_only,2,12302,59.8990661181834,59.8990661181834,0.0016903313049357674,1,25.100000000093132,False,False
11,P006,True,july,rating,n2_mask_noise,3,10957,119.23111796173723,119.23111796173723,0.006422364941443143,1,74.90000000002328,False,False
11,P006,True,july,rating,n4_mask_noise,4,10471,59.71609911827276,59.71609911827276,0.004750593824228029,1,54.09999999997672,False,False
11,P006,True,july,rating,n3_mask_noise,5,13255,79.37755226769814,79.37755226769814,0.0077954474586841285,1,108.30000000004657,False,False
12,P007,True,july,typing,masked,0,,60.00030000149999,48.00024000119999,0,0,4.5,False,False
12,P007,True,july,typing,control,1,,240.00120000599975,240.00120000599975,0,0,4.5,False,False
