participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P046,july,n2_mask_noise,4,2,11609,2,2,3,119.74324161754319,119.74324161754319,0.0021482277121374865
P046,july,control_anchor,5,1,11271,4,3,3,240.0035503483779,240.0035503483779,0
P047,july,n4_mask_only,0,4,10498,5,5,5,59.73933649289099,59.73933649289099,0.004344391785150079
P047,july,deployed_full,1,4,10315,5,5,5,58.032156752449254,46.425725401959404,0.032434544744040644
P047,july,n4_mask_noise,2,4,10589,3,5,5,59.57793881894129,59.57793881894129,0.00703125
P047,july,control_anchor,3,1,10559,5,5,5,240.00075769773568,240.00075769773568,0
P047,july,n3_mask_noise,4,3,10426,5,5,5,79.71388352792052,79.71388352792052,0.0035828025477707007
P047,july,n2_mask_noise,5,2,11587,5,5,5,119.70019017787213,119.70019017787213,0.002509860164933668
P048,july,n4_mask_only,0,4,17131,5,5,5,59.84015460646957,59.84015460646957,0.0026679602231384912
P048,july,deployed_full,1,4,13057,5,5,5,58.37996527751901,46.70397222201521,0.02670807453416149
P048,july,n4_mask_noise,2,4,12541,5,5,5,59.84132410108815,59.84132410108815,0.002649884067572044
P048,july,control_anchor,3,1,10750,5,5,5,240.00297793536123,240.00297793536123,0
P048,july,n3_mask_noise,4,3,12094,5,5,5,79.58832302495965,79.58832302495965,0.005140507196710075
P048,july,n2_mask_noise,5,2,11448,5,5,5,119.653058380939,119.653058380939,0.002902757619738752
P049,july,deployed_full,0,4,10986,5,5,5,57.89293429580051,46.3143474366404,0.03477306002928258
P049,july,control_anchor,1,1,10654,5,5,5,239.99999999999997,239.99999999999997,0
P049,july,n4_mask_only,2,4,11527,5,5,5,59.89229343976993,59.89229343976993,0.0018037518037518038
P049,july,n2_mask_noise,3,2,11198,5,5,5,119.29064669021734,119.29064669021734,0.005917159763313609
P049,july,n4_mask_noise,4,4,10663,5,5,5,59.72043371964969,59.72043371964969,0.004665629860031105
P049,july,n3_mask_noise,5,3,10686,5,5,4,79.19819928304821,79.19819928304821,0.010034735623311463
P050,july,deployed_full,0,4,10481,5,5,5,57.771999301682456,46.21759944134597,0.036767522022213714
P050,july,control_anchor,1,1,10695,3,3,3,240.0014965019273,240.0014965019273,0
P050,july,n4_mask_only,2,4,10400,4,4,3,59.90423000153546,59.90423000153546,0.001599360255897641
P050,july,n2_mask_noise,3,2,10425,3,4,3,119.61791113278463,119.61791113278463,0.0031872509960159364
P050,july,n4_mask_noise,4,4,12114,3,3,3,59.56965634781463,59.56965634781463,0.007169682485489928
P050,july,n3_mask_noise,5,3,10404,3,3,3,79.64977058442754,79.64977058442754,0.00438421681944998
P051,july,control_anchor,0,1,15142,5,5,5,240.00264174619423,240.00264174619423,0
P051,july,n2_mask_noise,1,2,12110,4,5,5,119.34379387639504,119.34379387639504,0.005473828258638385
P051,july,deployed_full,2,4,20432,4,2,4,59.00187689494201,47.20150151595361,0.016446048937023665
P051,july,n3_mask_noise,3,3,22225,4,5,4,79.82078482956143,79.82078482956143,0.002244668911335578
P051,july,n4_mask_only,4,4,16235,3,5,4,59.815809669992326,59.815809669992326,0.0030698388334612432
P051,july,n4_mask_noise,5,4,17518,3,5,4,59.80112747524037,59.80112747524037,0.0033183218772220905
P052,july,control_anchor,0,1,11238,5,5,5,240.00213572534525,240.00213572534525,0
P052,july,n2_mask_noise,1,2,11557,5,5,5,119.31378450425659,119.31378450425659,0.00573271228950197
P052,july,deployed_full,2,4,10733,5,4,4,58.12904331820532,46.50323465456425,0.030838661150808574
P052,july,n3_mask_noise,3,3,11628,5,5,5,79.71517243545253,79.71517243545253,0.0035688793718772305
P052,july,n4_mask_only,4,4,10788,5,5,5,59.74633768103908,59.74633768103908,0.004230769230769231
P052,july,n4_mask_noise,5,4,11803,5,4,5,59.789123571223605,59.789123571223605,0.0035174111853675696
P053,july,n2_mask_noise,0,2,15167,4,3,4,119.73901433184888,119.73901433184888,0.0021923814743765417
P053,july,n3_mask_noise,1,3,21960,4,4,4,79.68326243321938,79.68326243321938,0.003968253968253968
P053,july,control_anchor,2,1,14151,5,5,5,240.00169612506153,240.00169612506153,0
P053,july,n4_mask_noise,3,4,10554,3,4,3,59.694387360721215,59.694387360721215,0.005106048703849175
P053,july,deployed_full,4,4,10913,2,2,2,58.20152834547717,46.56122267638174,0.02962962962962963
P053,july,n4_mask_only,5,4,10500,3,4,3,59.92906452655814,59.92906452655814,0.0011885895404120444
P054,july,n2_mask_noise,0,2,12708,5,5,5,119.33547745928921,119.33547745928921,0.005542875774372351
P054,july,n3_mask_noise,1,3,16076,4,5,4,79.7320639013545,79.7320639013545,0.0033574380165289257
P054,july,control_anchor,2,1,10759,5,5,5,239.99925610459144,239.99925610459144,0
P054,july,n4_mask_noise,3,4,10678,4,5,4,59.69794655834228,59.69794655834228,0.005046583850931677
P054,july,deployed_full,4,4,10793,4,2,3,58.15937915424161,46.52750332339329,0.030325720703856234
P054,july,n4_mask_only,5,4,10437,5,4,5,59.92880314644146,59.92880314644146,0.0011961722488038277
P055,july,n3_mask_noise,0,3,18064,5,5,5,79.63356804666356,79.63356804666356,0.004591368227731864
P055,july,n4_mask_noise,1,4,11468,5,5,5,59.69676731054444,59.69676731054444,0.005059631369714492
P055,july,n2_mask_noise,2,2,10795,5,5,5,119.63136364056069,119.63136364056069,0.0030781069642170067
P055,july,n4_mask_only,3,4,10757,5,5,5,59.93110939864659,59.93110939864659,0.0011605415860735009
P055,july,control_anchor,4,1,10542,5,5,5,239.99924110911877,239.99924110911877,0
P055,july,deployed_full,5,4,11028,3,1,2,58.218334154755915,46.57466732380473,0.029347028613352897
P056,july,n3_mask_noise,0,3,24590,4,5,4,79.73014412756815,79.73014412756815,0.003377237419790611
P056,july,n4_mask_noise,1,4,10635,4,5,3,59.65009018775863,59.65009018775863,0.005841121495327103
P056,july,n2_mask_noise,2,2,10472,5,5,5,119.62086751298972,119.62086751298972,0.0031720856463124504
P056,july,n4_mask_only,3,4,10837,3,5,3,59.931427939427884,59.931427939427884,0.001152073732718894
P056,july,control_anchor,4,1,10582,5,5,4,240.00302366014034,240.00302366014034,0
P056,july,deployed_full,5,4,11187,3,3,3,58.24248316089166,46.59398652871333,0.02894356005788712
P057,sep08,n4_mask_noise,0,4,20815,4,3,3,59.73741375515542,59.73741375515542,0.0043859649122807015
P057,sep08,n4_mask_only,1,4,18903,3,3,3,59.94757065013392,59.94757065013392,0.0008808632459810614
P057,sep08,n3_mask_noise,2,3,16340,4,4,3,79.73586731561312,79.73586731561312,0.003303684879288437
P057,sep08,deployed_full,3,4,11904,2,1,1,58.14899816071792,46.519198528574336,0.030529172320217096
P057,sep08,n2_mask_noise,4,2,10993,4,4,3,119.77379590799238,119.77379590799238,0.0018910741301059002
P057,sep08,control_anchor,5,1,10966,5,5,5,240.00364747184605,240.00364747184605,0
P058,sep08,n4_mask_noise,0,4,15557,4,5,3,59.68093469771253,59.68093469771253,0.005326231691078562
P058,sep08,n4_mask_only,1,4,11096,4,5,3,59.91001124859392,59.91001124859392,0.0014998125234345708
P058,sep08,n3_mask_noise,2,3,10931,5,5,3,79.60552052912665,79.60552052912665,0.004927975739196361
P058,sep08,deployed_full,3,4,14475,4,3,3,58.53518849172927,46.828150793383415,0.02415051951698961
P058,sep08,n2_mask_noise,4,2,10778,5,5,5,119.72417623102555,119.72417623102555,0.0023139220979560356
P058,sep08,control_anchor,5,1,11703,5,5,5,240.00205129958331,240.00205129958331,0
P059,sep08,n4_mask_only,0,4,14786,5,3,4,59.81514440579248,59.81514440579248,0.003089887640449438
P059,sep08,deployed_full,1,4,11174,5,4,4,58.17787418655083,46.542299349240665,0.030018083182640144
P059,sep08,n4_mask_noise,2,4,10333,5,5,5,59.78323755158721,59.78323755158721,0.0036159100040176776
P059,sep08,control_anchor,3,1,10342,5,5,4,240.00154714937784,240.00154714937784,0
P059,sep08,n3_mask_noise,4,3,10321,5,5,4,79.58300816063068,79.58300816063068,0.005218787635487756
P059,sep08,n2_mask_noise,5,2,10293,5,5,5,119.1337132498294,119.1337132498294,0.007231820008035355
P060,sep08,deployed_full,0,4,10444,3,3,3,57.83267049910947,46.266136399287575,0.03576923076923077
P060,sep08,control_anchor,1,1,11023,5,5,4,240.00072590011578,240.00072590011578,0
P060,sep08,n4_mask_only,2,4,10511,4,5,4,59.90540502037225,59.90540502037225,0.0015829046299960427
P060,sep08,n2_mask_noise,3,2,10429,4,4,4,119.19161134867926,119.19161134867926,0.006746031746031746
P060,sep08,n4_mask_noise,4,4,10512,4,4,4,59.717030237069984,59.717030237069984,0.00473186119873817
P060,sep08,n3_mask_noise,5,3,10424,3,4,4,79.20980150061733,79.20980150061733,0.009893153937475268
P061,sep08,deployed_full,0,4,11691,5,3,4,58.095238095238095,46.476190476190474,0.03141180531584398
P061,sep08,control_anchor,1,1,10574,5,5,5,240.00226952500745,240.00226952500745,0
P061,sep08,n4_mask_only,2,4,10623,4,4,4,59.90809393589135,59.90809393589135,0.0015661707126076742
P061,sep08,n2_mask_noise,3,2,10665,5,5,5,119.62728623632034,119.62728623632034,0.003115264797507788
P061,sep08,n4_mask_noise,4,4,10453,4,4,4,59.50235258404777,59.50235258404777,0.008300395256916997
P061,sep08,n3_mask_noise,5,3,11465,4,4,4,79.65313836838435,79.65313836838435,0.004341534008683068
P062,sep08,control_anchor,0,1,14094,5,5,5,240.00113542819875,240.00113542819875,0
P062,sep08,n2_mask_noise,1,2,12510,5,5,5,119.36560934891484,119.36560934891484,0.005299768135144088
P062,sep08,deployed_full,2,4,17680,4,3,4,58.84963114981419,47.07970491985135,0.018955154877484975
P062,sep08,n3_mask_noise,3,3,11888,4,5,4,79.69351226676926,79.69351226676926,0.0038394415357766143
P062,sep08,n4_mask_only,4,4,12701,4,4,4,59.785251533357446,59.785251533357446,0.003594771241830065
P062,sep08,n4_mask_noise,5,4,11005,4,4,4,59.68463380472597,59.68463380472597,0.005271084337349397
P063,sep08,control_anchor,0,1,12902,5,5,3,240.0037209879225,240.0037209879225,0
P063,sep08,n2_mask_noise,1,2,11950,3,5,4,119.66831563404615,119.66831563404615,0.002780674313521029
P063,sep08,deployed_full,2,4,11238,2,2,1,58.04297503592735,46.43438002874188,0.032281205164992825
P063,sep08,n3_mask_noise,3,3,19999,3,3,3,79.83474208388625,79.83474208388625,0.002079002079002079
P063,sep08,n4_mask_only,4,4,11063,3,3,3,59.88793850151575,59.88793850151575,0.0018796992481203006
P063,sep08,n4_mask_noise,5,4,12707,3,3,3,59.59033112686288,59.59033112686288,0.006838163464669489
P064,sep08,n2_mask_noise,0,2,11679,5,5,5,119.61763325225111,119.61763325225111,0.003200568990042674
P064,sep08,n3_mask_noise,1,3,12413,5,5,5,79.6533741757345,79.6533741757345,0.004343468092215168
P064,sep08,control_anchor,2,1,10702,5,5,5,240.00299185654023,240.00299185654023,0
P064,sep08,n4_mask_noise,3,4,12908,5,5,5,59.75012532294759,59.75012532294759,0.004177377892030848
P064,sep08,deployed_full,4,4,10799,5,2,3,57.98651830234447,46.389214641875576,0.0332089552238806
P064,sep08,n4_mask_only,5,4,10493,5,5,4,59.74007494189631,59.74007494189631,0.004347826086956522
P065,sep08,n2_mask_noise,0,2,10709,5,5,5,119.21328509138138,119.21328509138138,0.006571318129107074
P065,sep08,n3_mask_noise,1,3,10211,5,4,4,79.57912638216796,79.57912638216796,0.005273833671399594
P065,sep08,control_anchor,2,1,10414,5,5,5,240.00307449895246,240.00307449895246,0
P065,sep08,n4_mask_noise,3,4,10415,4,4,3,59.689804026435155,59.689804026435155,0.005173099880620772
P065,sep08,deployed_full,4,4,10234,4,3,3,58.176443277967934,46.54115462237435,0.030015797788309637
P065,sep08,n4_mask_only,5,4,10148,4,4,3,59.73106309522635,59.73106309522635,0.004495300367797303
P066,sep10_12,n3_mask_noise,0,3,34206,3,4,4,79.82570043234463,79.82570043234463,0.002188449848024316
P066,sep10_12,n4_mask_noise,1,4,24281,4,3,4,59.84654311251292,59.84654311251292,0.002567174396714017
P066,sep10_12,n2_mask_noise,2,2,13692,5,5,5,119.60120801950295,119.60120801950295,0.0033353547604608852
P066,sep10_12,n4_mask_only,3,4,18922,4,4,4,59.90788272722041,59.90788272722041,0.0015387997362057595
P066,sep10_12,control_anchor,4,1,10846,5,5,5,240.00516338423265,240.00516338423265,0
P066,sep10_12,deployed_full,5,4,16244,3,1,2,58.64674773023934,46.91739818419147,0.022316950852557672
P067,sep10_12,n3_mask_noise,0,3,14529,5,5,5,79.68118386084706,79.68118386084706,0.003998857469294488
P067,sep10_12,n4_mask_noise,1,4,19564,5,4,4,59.80946558663202,59.80946558663202,0.0031840373593716833
P067,sep10_12,n2_mask_noise,2,2,12036,5,5,5,119.54713608262803,119.54713608262803,0.003793103448275862
P067,sep10_12,n4_mask_only,3,4,13211,5,4,4,59.84961157205729,59.84961157205729,0.0025165146272412707
P067,sep10_12,control_anchor,4,1,10662,5,5,5,240.00300238314202,240.00300238314202,0
P067,sep10_12,deployed_full,5,4,36526,4,2,2,59.37737075972689,47.50189660778151,0.010274359263859095
P068,sep10_12,n4_mask_noise,0,4,10426,5,5,5,59.619692131725685,59.619692131725685,0.006354249404289118
P068,sep10_12,n4_mask_only,1,4,10355,5,5,5,59.80861244019145,59.80861244019145,0.003208985158443642
P068,sep10_12,n3_mask_noise,2,3,11147,5,5,5,79.58396182349908,79.58396182349908,0.005206396429899591
P068,sep10_12,deployed_full,3,4,10427,5,4,5,57.89468812765505,46.31575050212404,0.034722222222222224
P068,sep10_12,n2_mask_noise,4,2,10411,5,5,5,119.61859904075347,119.61859904075347,0.0031910650179497405
P068,sep10_12,control_anchor,5,1,10446,5,5,5,240.00153233221016,240.00153233221016,0
P069,sep10_12,n4_mask_noise,0,4,16132,5,4,3,59.76895101786272,59.76895101786272,0.0038590172369436584
P069,sep10_12,n4_mask_only,1,4,11377,5,4,4,59.825277768041815,59.825277768041815,0.0029207740051113546
P069,sep10_12,n3_mask_noise,2,3,10952,4,4,3,79.60723063697917,79.60723063697917,0.004918653045781309
P069,sep10_12,deployed_full,3,4,11472,4,2,2,58.183262488063406,46.546609990450726,0.029940119760479042
P069,sep10_12,n2_mask_noise,4,2,10582,5,5,5,119.39007652245822,119.39007652245822,0.0050920485703094395
P069,sep10_12,control_anchor,5,1,10510,5,5,5,240.00076130297032,240.00076130297032,0
P070,sep10_12,n4_mask_only,0,4,10833,4,1,2,59.81631789152077,59.81631789152077,0.003067484662576687
P070,sep10_12,deployed_full,1,4,10430,4,2,2,57.873367614960635,46.29869409196851,0.03508095605242868
P070,sep10_12,n4_mask_noise,2,4,11876,4,2,3,59.76939203354298,59.76939203354298,0.003843466107617051
P070,sep10_12,control_anchor,3,1,10742,5,5,5,240.0022351779762,240.0022351779762,0
P070,sep10_12,n3_mask_noise,4,3,10571,4,3,3,79.56145550109287,79.56145550109287,0.005488043904351235
P070,sep10_12,n2_mask_noise,5,2,10400,4,3,3,119.56886227544909,119.56886227544909,0.003592814371257485
P071,sep10_12,n4_mask_only,0,4,15537,5,4,4,59.824203200041026,59.824203200041026,0.0029427501337613697
P071,sep10_12,deployed_full,1,4,11208,4,4,4,58.07928145781155,46.46342516624924,0.03167746580273578
P071,sep10_12,n4_mask_noise,2,4,14811,4,5,4,59.748300828913045,59.748300828913045,0.004201680672268907
P071,sep10_12,control_anchor,3,1,10047,5,5,5,240.00318544252738,240.00318544252738,0
P071,sep10_12,n3_mask_noise,4,3,10769,4,5,4,79.60116276205265,79.60116276205265,0.0050038491147036184
P071,sep10_12,n2_mask_noise,5,2,10908,4,5,4,119.49955284627026,119.49955284627026,0.004182509505703422
P072,sep10_12,deployed_full,0,4,17866,3,1,2,58.52568794310742,46.82055035448594,0.024356931481903026
P072,sep10_12,control_anchor,1,1,10822,5,5,5,240.0029572948143,240.0029572948143,0
P072,sep10_12,n4_mask_only,2,4,17097,3,5,3,59.88382275672836,59.88382275672836,0.0019459985405010946
P072,sep10_12,n2_mask_noise,3,2,11734,4,4,4,119.53459162197072,119.53459162197072,0.0038896746817538895
P072,sep10_12,n4_mask_noise,4,4,14701,3,5,3,59.763317617731445,59.763317617731445,0.003951453570420547
P072,sep10_12,n3_mask_noise,5,3,11322,3,4,2,79.62035328236225,79.62035328236225,0.004760161113145368
P073,sep10_12,deployed_full,0,4,13027,4,1,2,58.32214264398687,46.6577141151895,0.02767412935323383
P073,sep10_12,control_anchor,1,1,12214,5,5,5,240.0019652156825,240.0019652156825,0
P073,sep10_12,n4_mask_only,2,4,12001,4,3,3,59.83445799953471,59.83445799953471,0.002770083102493075
P073,sep10_12,n2_mask_noise,3,2,10701,5,4,5,119.48948362310354,119.48948362310354,0.004263565891472868
P073,sep10_12,n4_mask_noise,4,4,10573,4,3,2,59.671033451515584,59.671033451515584,0.0054858934169279
P073,sep10_12,n3_mask_noise,5,3,10514,4,5,4,79.55870764381403,79.55870764381403,0.005516154452324665
P074,sep10_12,control_anchor,0,1,12926,5,5,3,240.00185688090494,240.00185688090494,0
P074,sep10_12,n2_mask_noise,1,2,16004,5,5,5,119.65881194781251,119.65881194781251,0.0028556593977154725
P074,sep10_12,deployed_full,2,4,12771,4,3,3,58.28862763002701,46.63090210402161,0.02822708531557247
P074,sep10_12,n3_mask_noise,3,3,10628,5,4,5,79.5335858703955,79.5335858703955,0.005845674201091193
P074,sep10_12,n4_mask_only,4,4,14871,4,4,3,59.933519121646576,59.933519121646576,0.001119194180190263
P074,sep10_12,n4_mask_noise,5,4,26797,5,5,3,59.842182643812926,59.842182643812926,0.002791130407815165
P075,sep10_12,control_anchor,0,1,23558,5,5,5,240.0027171721029,240.0027171721029,0
P075,sep10_12,n2_mask_noise,1,2,10685,5,5,5,119.4890619759257,119.4890619759257,0.004270186335403727
P075,sep10_12,deployed_full,2,4,10616,4,4,3,57.95274587254479,46.36219669803583,0.03376327769347496
P075,sep10_12,n3_mask_noise,3,3,10654,5,5,5,79.65806534017433,79.65806534017433,0.004283489096573208
P075,sep10_12,n4_mask_only,4,4,10649,5,5,4,59.813539014527095,59.813539014527095,0.0031201248049922
P075,sep10_12,n4_mask_noise,5,4,10732,5,5,4,59.653380512611115,59.653380512611115,0.005789270551910459
P076,sep10_12,n2_mask_noise,0,2,16453,4,4,4,119.60722550005444,119.60722550005444,0.003281171125694094
P076,sep10_12,n3_mask_noise,1,3,11896,4,4,4,79.5548273479122,79.5548273479122,0.00557297109021247
P076,sep10_12,control_anchor,2,1,10518,5,5,5,240.00380354680675,240.00380354680675,0
P076,sep10_12,n4_mask_noise,3,4,14984,3,3,3,59.70169077313353,59.70169077313353,0.004980630879911455
P076,sep10_12,deployed_full,4,4,10740,3,2,3,57.75969457713099,46.207755661704795,0.03698169592827792
P076,sep10_12,n4_mask_only,5,4,13472,4,4,3,59.9261762874676,59.9261762874676,0.0012353304508956147
P077,sep10_12,n2_mask_noise,0,2,21956,5,3,4,119.75095437193237,119.75095437193237,0.0020829388373414127
P077,sep10_12,n3_mask_noise,1,3,22473,3,4,4,79.79372567467412,79.79372567467412,0.0025887573964497044
P077,sep10_12,control_anchor,2,1,10646,5,5,5,240.00375886857992,240.00375886857992,0
P077,sep10_12,n4_mask_noise,3,4,13950,4,3,3,59.69744734571022,59.69744734571022,0.005052005943536404
P077,sep10_12,deployed_full,4,4,12392,2,2,3,57.95418228870313,46.3633458309625,0.03378817413905133
P077,sep10_12,n4_mask_only,5,4,12296,3,4,3,59.919620021921816,59.919620021921816,0.0013531799729364006
P078,sep10_12,n3_mask_noise,0,3,10432,5,5,5,79.55570805851026,79.55570805851026,0.005559968228752979
P078,sep10_12,n4_mask_noise,1,4,10692,5,5,5,59.65222242886367,59.65222242886367,0.00581170089112747
P078,sep10_12,n2_mask_noise,2,2,10841,5,5,5,119.4498512615229,119.4498512615229,0.0045906656465187455
P078,sep10_12,n4_mask_only,3,4,10266,5,5,5,59.806405887435666,59.806405887435666,0.003236245954692557
P078,sep10_12,control_anchor,4,1,10246,5,5,5,240.00312326146548,240.00312326146548,0
P078,sep10_12,deployed_full,5,4,11173,5,1,3,58.00971083857689,46.407768670861515,0.03282828282828283
P079,sep10_12,n3_mask_noise,0,3,22449,5,4,4,79.79349656345926,79.79349656345926,0.00259163272861903
P079,sep10_12,n4_mask_noise,1,4,19565,5,5,4,59.80916088868065,59.80916088868065,0.0031840373593716833
P079,sep10_12,n2_mask_noise,2,2,10796,5,5,5,119.49563709483989,119.49563709483989,0.004227517294388932
P079,sep10_12,n4_mask_only,3,4,19713,5,4,5,59.89934075281778,59.89934075281778,0.0016877637130801688
P079,sep10_12,control_anchor,4,1,10582,5,5,5,240.00151241599053,240.00151241599053,0
P079,sep10_12,deployed_full,5,4,13926,4,3,3,58.427390592875476,46.74191247430038,0.025939959195569805
P080,sep10_12,n4_mask_noise,0,4,18500,5,4,4,59.79862409291946,59.79862409291946,0.003367003367003367
P080,sep10_12,n4_mask_only,1,4,10706,5,4,4,59.81418038281072,59.81418038281072,0.0031031807602792862
P080,sep10_12,n3_mask_noise,2,3,11610,4,4,4,79.62902645157968,79.62902645157968,0.004642857142857143
P080,sep10_12,deployed_full,3,4,12772,3,2,2,58.23364897934389,46.58691918347511,0.029141590117199873
P080,sep10_12,n2_mask_noise,4,2,10707,5,5,5,119.67626870814837,119.67626870814837,0.002716336825766395
P080,sep10_12,control_anchor,5,1,10750,5,5,5,240.00223257890718,240.00223257890718,0
P081,sep10_12,n4_mask_noise,0,4,18869,4,4,4,59.8023577630828,59.8023577630828,0.003301056338028169
P081,sep10_12,n4_mask_only,1,4,13265,4,4,4,59.85052406803115,59.85052406803115,0.002506265664160401
P081,sep10_12,n3_mask_noise,2,3,11027,4,4,4,79.60998027043946,79.60998027043946,0.004887218045112782
P081,sep10_12,deployed_full,3,4,10647,3,3,3,57.95911330496258,46.367290643970065,0.033661119515885025
P081,sep10_12,n2_mask_noise,4,2,10912,4,4,4,119.63602145134607,119.63602145134607,0.0030452988199467074
P081,sep10_12,control_anchor,5,1,10646,5,5,5,240.00526038926932,240.00526038926932,0
P082,sep10_12,n4_mask_only,0,4,31369,4,5,3,59.9370139919373,59.9370139919373,0.0010614302772986599
P082,sep10_12,deployed_full,1,4,10417,3,3,3,57.84840940013526,46.278727520108205,0.035493827160493825
P082,sep10_12,n4_mask_noise,2,4,10492,2,4,2,59.74007494189631,59.74007494189631,0.004347826086956522
P082,sep10_12,control_anchor,3,1,14182,5,5,5,240.00282107341846,240.00282107341846,0
P082,sep10_12,n3_mask_noise,4,3,21955,4,5,3,79.80386723180528,79.80386723180528,0.0024607230740109785
P082,sep10_12,n2_mask_noise,5,2,10349,4,5,4,119.47132495815632,119.47132495815632,0.004408817635270541
P083,sep10_12,n4_mask_only,0,4,15160,4,3,3,59.868910283830246,59.868910283830246,0.0021935837674801205
P083,sep10_12,deployed_full,1,4,10633,3,1,2,57.95791978060886,46.36633582448709,0.03368660105980318
P083,sep10_12,n4_mask_noise,2,4,15465,2,4,2,59.80768735015857,59.80768735015857,0.00322234156820623
P083,sep10_12,control_anchor,3,1,10311,5,5,5,240.00543262094914,240.00543262094914,0
P083,sep10_12,n3_mask_noise,4,3,11472,3,5,2,79.595689747393,79.595689747393,0.005059631369714492
P083,sep10_12,n2_mask_noise,5,2,16521,4,5,3,119.76011740477446,119.76011740477446,0.0020130850528434826
P084,sep10_12,deployed_full,0,4,18007,3,2,2,58.763385597668,47.0107084781344,0.020398912058023574
P084,sep10_12,control_anchor,1,1,10678,5,5,5,240.00224826462153,240.00224826462153,0
P084,sep10_12,n4_mask_only,2,4,10562,4,5,4,59.811999207225504,59.811999207225504,0.0031458906802988595
P084,sep10_12,n2_mask_noise,3,2,10935,4,5,4,119.45501210477495,119.45501210477495,0.004550625711035267
P084,sep10_12,n4_mask_noise,4,4,10798,1,5,2,59.61032509705058,59.61032509705058,0.006515906477577616
P084,sep10_12,n3_mask_noise,5,3,13431,4,5,3,79.60552794218249,79.60552794218249,0.0049382716049382715
P085,sep10_12,deployed_full,0,4,16481,3,2,3,58.65189595663669,46.921516765309356,0.022244191794364803
P085,sep10_12,control_anchor,1,1,10526,5,5,5,240.00456065673416,240.00456065673416,0
P085,sep10_12,n4_mask_only,2,4,10896,4,5,4,59.81791563729527,59.81791563729527,0.0030499428135722455
P085,sep10_12,n2_mask_noise,3,2,10469,5,5,4,119.47891408738649,119.47891408738649,0.004358161648177496
P085,sep10_12,n4_mask_noise,4,4,14382,4,4,3,59.74137453619105,59.74137453619105,0.004326507066628208
P085,sep10_12,n3_mask_noise,5,3,10680,5,5,4,79.56612711953882,79.56612711953882,0.00543267365153279
P086,sep10_12,control_anchor,0,1,22518,5,4,4,240.00177647502943,240.00177647502943,0
P086,sep10_12,n2_mask_noise,1,2,21549,5,3,4,119.74661505121425,119.74661505121425,0.0021223229789697085
P086,sep10_12,deployed_full,2,4,16132,3,2,3,58.637880797911414,46.91030463832913,0.02246907346629639
P086,sep10_12,n3_mask_noise,3,3,19333,4,5,4,79.82826859864502,79.82826859864502,0.0021500752526338422
P086,sep10_12,n4_mask_only,4,4,18114,3,4,4,59.90399929459868,59.90399929459868,0.0016073478760045925
P086,sep10_12,n4_mask_noise,5,4,25350,3,4,4,59.853141404522205,59.853141404522205,0.002459419576979833
P087,sep10_12,control_anchor,0,1,10446,5,5,5,240.00076585804845,240.00076585804845,0
P087,sep10_12,n2_mask_noise,1,2,17828,4,5,4,119.63809406646494,119.63809406646494,0.0030288909599254427
P087,sep10_12,deployed_full,2,4,13449,3,2,2,58.07595738098837,46.4607659047907,0.031784107946026985
P087,sep10_12,n3_mask_noise,3,3,19028,3,5,4,79.80903150945151,79.80903150945151,0.002402795980777632
P087,sep10_12,n4_mask_only,4,4,11704,3,4,3,59.830515692202866,59.830515692202866,0.0028388928317956
P087,sep10_12,n4_mask_noise,5,4,10847,2,5,3,59.67938665272677,59.67938665272677,0.005349636988918609
P088,sep10_12,n2_mask_noise,0,2,14484,5,5,5,119.62265708859704,119.62265708859704,0.0031536697247706424
P088,sep10_12,n3_mask_noise,1,3,10504,5,5,5,79.59125064300984,79.59125064300984,0.005128205128205128
P088,sep10_12,control_anchor,2,1,11158,5,5,5,240.00143445011176,240.00143445011176,0
P088,sep10_12,n4_mask_noise,3,4,21068,4,4,5,59.82321571373807,59.82321571373807,0.0029574132492113563
P088,sep10_12,deployed_full,4,4,10460,4,4,4,57.880615180349764,46.30449214427981,0.03497309761721752
P088,sep10_12,n4_mask_only,5,4,12144,3,4,4,59.91827270933357,59.91827270933357,0.0013703323055841042
P089,sep10_12,n2_mask_noise,0,2,10764,5,5,5,119.4924346121124,119.4924346121124,0.004238921001926782
P089,sep10_12,n3_mask_noise,1,3,13537,5,4,4,79.65753878064382,79.65753878064382,0.004290530186944529
P089,sep10_12,control_anchor,2,1,11751,5,5,5,240.00408517591697,240.00408517591697,0
P089,sep10_12,n4_mask_noise,3,4,12156,4,3,4,59.693856669258786,59.693856669258786,0.005115961800818554
P089,sep10_12,deployed_full,4,4,12105,3,1,2,58.17910997573541,46.543287980588325,0.030040053404539385
P089,sep10_12,n4_mask_only,5,4,11280,4,4,4,59.91203461977558,59.91203461977558,0.0014749262536873156
P090,sep10_12,n3_mask_noise,0,3,27800,3,4,4,79.83315445059065,79.83315445059065,0.0020939276099311995
P090,sep10_12,n4_mask_noise,1,4,10851,4,4,3,59.65685286627686,59.65685286627686,0.0057251908396946565
P090,sep10_12,n2_mask_noise,2,2,10708,5,4,5,119.48931105345895,119.48931105345895,0.004261913986826811
P090,sep10_12,n4_mask_only,3,4,11427,4,3,4,59.82656185931277,59.82656185931277,0.0029080334423845873
P090,sep10_12,control_anchor,4,1,10334,5,5,4,240.00309681415217,240.00309681415217,0
