participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P011,july,control_anchor,2,1,13543,5,5,5,240.00118154427878,240.00118154427878,0
P011,july,n4_mask_noise,3,4,10643,3,5,3,59.6968195964447,59.6968195964447,0.0050623052959501555
P011,july,deployed_full,4,4,10773,3,2,3,57.938856015779095,46.35108481262328,0.034005979073243646
P011,july,n4_mask_only,5,4,11339,4,4,4,59.91266221760485,59.91266221760485,0.001467351430667645
P012,july,n3_mask_noise,0,3,11182,5,5,5,79.40875389795222,79.40875389795222,0.0073964497041420114
P012,july,n4_mask_noise,1,4,10291,5,5,4,59.63816456368313,59.63816456368313,0.006033789219629927
P012,july,n2_mask_noise,2,2,10450,5,5,5,119.66765873015892,119.66765873015892,0.0027821939586645467
P012,july,n4_mask_only,3,4,10334,4,5,4,59.903806221689756,59.903806221689756,0.0016096579476861167
P012,july,control_anchor,4,1,10190,5,5,5,239.99999999999997,239.99999999999997,0
P012,july,deployed_full,5,4,11288,3,3,3,58.13404724517534,46.507237796140274,0.030758226037195996
P013,july,n3_mask_noise,0,3,31040,4,5,4,79.78632258948922,79.78632258948922,0.002677376171352075
P013,july,n4_mask_noise,1,4,17277,4,5,3,59.784332381858555,59.784332381858555,0.0036040365209034117
P013,july,n2_mask_noise,2,2,10329,5,5,5,119.61630140026841,119.61630140026841,0.003216726980297547
P013,july,n4_mask_only,3,4,17946,4,5,4,59.917309383103586,59.917309383103586,0.0013911430558775793
P013,july,control_anchor,4,1,10606,5,5,5,240.00150885034955,240.00150885034955,0
P013,july,deployed_full,5,4,15180,2,1,3,58.537886530019385,46.83030922401551,0.02410929547281007
P014,july,n4_mask_noise,0,4,10808,5,5,5,59.54184455768259,59.54184455768259,0.0076511094108645756
P014,july,n4_mask_only,1,4,11615,5,5,5,59.91472681635328,59.91472681635328,0.0014326647564469914
P014,july,n3_mask_noise,2,3,10321,5,5,5,79.55158332691262,79.55158332691262,0.0056179775280898875
P014,july,deployed_full,3,4,15629,5,4,5,58.59472631842039,46.875781054736315,0.023177083333333334
P014,july,n2_mask_noise,4,2,10505,5,5,5,119.71583516159968,119.71583516159968,0.002374356944994064
P014,july,control_anchor,5,1,10407,5,5,5,240.0015378552678,240.0015378552678,0
P015,july,n4_mask_noise,0,4,42304,5,5,4,59.929687536891876,59.929687536891876,0.0011805213969503198
P015,july,n4_mask_only,1,4,14475,4,4,4,59.811083036718564,59.811083036718564,0.003155479059093517
P015,july,n3_mask_noise,2,3,13664,4,4,4,79.70819025956627,79.70819025956627,0.0036452004860267314
P015,july,deployed_full,3,4,16137,3,2,2,58.53363567649282,46.82690854119426,0.024193548387096774
P015,july,n2_mask_noise,4,2,10645,5,5,5,119.20869686931367,119.20869686931367,0.006609642301710731
P015,july,control_anchor,5,1,10615,5,5,5,240.00226150540036,240.00226150540036,0
P016,july,n4_mask_only,0,4,12404,5,5,5,59.77959662326607,59.77959662326607,0.003681392235609103
P016,july,deployed_full,1,4,10473,5,5,5,58.01444243342085,46.411553946736674,0.032717474980754425
P016,july,n4_mask_noise,2,4,10709,5,5,5,59.791253872129076,59.791253872129076,0.0034883720930232558
P016,july,control_anchor,3,1,10606,5,5,5,240.002264172303,240.002264172303,0
P016,july,n3_mask_noise,4,3,12567,5,5,5,79.68390554142526,79.68390554142526,0.003961703532518983
P016,july,n2_mask_noise,5,2,11902,5,5,5,119.33303816819391,119.33303816819391,0.005569091541942221
P017,july,n4_mask_only,0,4,10418,5,5,5,59.737641641029526,59.737641641029526,0.004378980891719745
P017,july,deployed_full,1,4,10686,5,5,5,58.05373988303253,46.44299190642602,0.03207547169811321
P017,july,n4_mask_noise,2,4,10308,5,5,5,59.78271375824013,59.78271375824013,0.003624647603705195
P017,july,control_anchor,3,1,12566,5,5,5,240.00318306608844,240.00318306608844,0
P017,july,n3_mask_noise,4,3,12023,4,4,4,79.61467161016941,79.61467161016941,0.004827586206896552
P017,july,n2_mask_noise,5,2,12499,4,4,4,119.24541501379295,119.24541501379295,0.006293474660483604
P018,july,deployed_full,0,4,16445,5,5,5,58.57577898217345,46.86062318573876,0.023503216229589313
P018,july,control_anchor,1,1,10806,5,5,5,240.0022222427987,240.0022222427987,0
P018,july,n4_mask_only,2,4,10518,5,5,5,59.88180162404186,59.88180162404186,0.001976284584980237
P018,july,n2_mask_noise,3,2,10783,5,5,5,119.26377201633233,119.26377201633233,0.006144393241167435
P018,july,n4_mask_noise,4,4,10487,5,5,5,59.69151085688261,59.69151085688261,0.005138339920948616
P018,july,n3_mask_noise,5,3,10510,5,5,5,79.65372885529722,79.65372885529722,0.004340962904498816
P019,july,deployed_full,0,4,21788,5,2,3,58.9192209594708,47.13537676757664,0.01784037558685446
P019,july,control_anchor,1,1,10782,5,5,5,240.0014843539812,240.0014843539812,0
P019,july,n4_mask_only,2,4,11270,5,5,4,59.9123234291281,59.9123234291281,0.0014760147601476014
P019,july,n2_mask_noise,3,2,10461,5,5,5,119.24096076587735,119.24096076587735,0.006331618519984171
P019,july,n4_mask_noise,4,4,10601,5,5,5,59.718793703832134,59.718793703832134,0.004692999608916699
P019,july,n3_mask_noise,5,3,11423,5,5,5,79.6521102580413,79.6521102580413,0.004357298474945534
P020,july,control_anchor,0,1,16398,1,5,5,240.00341555051347,240.00341555051347,0
P020,july,n2_mask_noise,1,2,11591,5,5,5,119.31618359767022,119.31618359767022,0.005718370264474625
P020,july,deployed_full,2,4,10394,5,3,5,58.090242516281165,46.47219401302493,0.03145631067961165
P020,july,n3_mask_noise,3,3,10325,5,5,5,79.71126379989174,79.71126379989174,0.0036188178528347406
P020,july,n4_mask_only,4,4,10241,5,5,5,59.85414962807188,59.85414962807188,0.002434077079107505
P020,july,n4_mask_noise,5,4,14784,5,5,5,59.680760900273185,59.680760900273185,0.005325112107623318
P021,july,n2_mask_noise,0,2,27173,5,5,1,119.70750401961709,119.70750401961709,0.002447231569287244
P021,july,n3_mask_noise,1,3,14059,3,2,3,79.69397513547976,79.69397513547976,0.0038370720188902006
P021,july,control_anchor,2,1,10679,5,5,5,240.0022482646202,240.0022482646202,0
P021,july,n4_mask_noise,3,4,10595,5,5,5,59.69532855895866,59.69532855895866,0.005084082909659757
P021,july,deployed_full,4,4,11249,5,4,5,58.00209744524286,46.40167795619429,0.03296309566463633
P021,july,n4_mask_only,5,4,10505,5,5,5,59.905557297456376,59.905557297456376,0.001583531274742676
P022,july,n2_mask_noise,0,2,10543,5,5,5,119.5751797643455,119.5751797643455,0.003543307086614173
P022,july,n3_mask_noise,1,3,10525,5,5,5,79.37255788825654,79.37255788825654,0.007852375343541421
P022,july,control_anchor,2,1,10574,5,5,5,240.00302723566057,240.00302723566057,0
P022,july,n4_mask_noise,3,4,10945,5,3,3,59.70501903835856,59.70501903835856,0.004922377887163953
P022,july,deployed_full,4,4,10125,2,5,3,58.134527603134835,46.507622082507865,0.030714000797766254
P022,july,n4_mask_only,5,4,11268,3,5,3,59.91208167895626,59.91208167895626,0.0014771048744460858
P023,july,n3_mask_noise,0,3,14752,4,4,4,79.55122415876998,79.55122415876998,0.005616399887672002
P023,july,n4_mask_noise,1,4,10853,4,4,4,59.679753769488634,59.679753769488634,0.0053435114503816794
P023,july,n2_mask_noise,2,2,10986,4,4,4,119.68302380044685,119.68302380044685,0.00264750378214826
P023,july,n4_mask_only,3,4,10545,3,3,3,59.858722068293986,59.858722068293986,0.002364066193853428
P023,july,control_anchor,4,1,10742,5,5,5,240.00223517797554,240.00223517797554,0
P023,july,deployed_full,5,4,10604,3,3,3,57.88448586562778,46.30758869250222,0.03490136570561457
P024,july,n3_mask_noise,0,3,17773,5,5,5,79.62728606466491,79.62728606466491,0.004666355576294913
P024,july,n4_mask_noise,1,4,11348,5,5,5,59.671935789141514,59.671935789141514,0.00547645125958379
P024,july,n2_mask_noise,2,2,10361,5,5,5,119.61561399796051,119.61561399796051,0.0032064128256513026
P024,july,n4_mask_only,3,4,10394,5,5,5,59.85682343796475,59.85682343796475,0.0023990403838464614
P024,july,control_anchor,4,1,10286,5,5,5,240.00077796038264,240.00077796038264,0
P024,july,deployed_full,5,4,10943,4,3,4,58.055216568507745,46.444173254806195,0.03206782159970512
P025,july,n4_mask_noise,0,4,19191,3,3,3,59.740906567608576,59.740906567608576,0.00432338953739732
P025,july,n4_mask_only,1,4,12896,5,5,5,59.92335384972709,59.92335384972709,0.0012903225806451613
P025,july,n3_mask_noise,2,3,10848,5,5,5,79.57316514181983,79.57316514181983,0.0053475935828877
P025,july,deployed_full,3,4,18630,3,3,3,58.933607443135394,47.14688595450831,0.01757469244288225
P025,july,n2_mask_noise,4,2,10623,5,5,5,119.62508092284901,119.62508092284901,0.003127443315089914
P025,july,control_anchor,5,1,10518,5,5,5,240.0038035468074,240.0038035468074,0
P026,july,n4_mask_noise,0,4,26191,4,4,4,59.81038793972907,59.81038793972907,0.003171582619727244
P026,july,n4_mask_only,1,4,15984,3,4,3,59.93814046488378,59.93814046488378,0.001041395469929706
P026,july,n3_mask_noise,2,3,10346,3,4,3,79.55197149841564,79.55197149841564,0.005606728073688426
P026,july,deployed_full,3,4,10357,3,2,3,57.85916437029877,46.28733149623902,0.03531237873496314
P026,july,n2_mask_noise,4,2,10074,4,4,4,119.75366092733564,119.75366092733564,0.0020627062706270625
P026,july,control_anchor,5,1,10438,5,5,5,240.000766775613,240.000766775613,0
P027,july,n4_mask_only,0,4,23410,3,2,2,59.872901944404234,59.872901944404234,0.002131060202450719
P027,july,deployed_full,1,4,12167,2,2,2,58.34252113193676,46.67401690554941,0.027306027306027308
P027,july,n4_mask_noise,2,4,10377,3,2,3,59.73621103117506,59.73621103117506,0.004396482813749001
P027,july,control_anchor,3,1,11015,4,4,4,240.00217936144784,240.00217936144784,0
P027,july,n3_mask_noise,4,3,10564,3,3,3,79.34347653329095,79.34347653329095,0.008212749315604223
P027,july,n2_mask_noise,5,2,10378,3,4,4,119.5687652400978,119.5687652400978,0.0036
P028,july,deployed_full,0,4,12205,5,5,5,58.32755832755831,46.66204666204665,0.02755644090305445
P028,july,control_anchor,1,1,10503,5,5,5,240.00228573605477,240.00228573605477,0
P028,july,n4_mask_only,2,4,10756,5,5,5,59.746390225842276,59.746390225842276,0.004242190512919399
P028,july,n2_mask_noise,3,2,10807,5,5,5,119.63178866587982,119.63178866587982,0.0030745580322828594
P028,july,n4_mask_noise,4,4,11424,5,5,5,59.739524348810875,59.739524348810875,0.004355716878402904
P028,july,n3_mask_noise,5,3,11635,5,5,5,79.6870720350592,79.6870720350592,0.0039229671897289585
P029,july,deployed_full,0,4,22018,5,1,3,58.94058646106622,47.152469168852974,0.017478616586091483
P029,july,control_anchor,1,1,23742,4,1,3,240.00269571297403,240.00269571297403,0
P029,july,n4_mask_only,2,4,24942,4,5,3,59.96018011088686,59.96018011088686,0.0006676681689200467
P029,july,n2_mask_noise,3,2,14356,5,5,5,119.41146710467062,119.41146710467062,0.004909038406006353
P029,july,n4_mask_noise,4,4,14047,4,5,4,59.787658068497095,59.787658068497095,0.0035460992907801418
P029,july,n3_mask_noise,5,3,10515,4,4,4,79.1851301301774,79.1851301301774,0.010192081536652292
P030,july,control_anchor,0,1,15014,4,4,4,240.00159867842547,240.00159867842547,0
P030,july,n2_mask_noise,1,2,10964,4,4,4,119.27528481959173,119.27528481959173,0.006042296072507553
P030,july,deployed_full,2,4,12679,4,2,3,58.38853028988966,46.71082423191173,0.026551503518873962
P030,july,n3_mask_noise,3,3,10517,4,4,3,79.65361407760845,79.65361407760845,0.004339250493096647
P030,july,n4_mask_only,4,4,10485,3,4,3,59.739113098459235,59.739113098459235,0.00435126582278481
P030,july,n4_mask_noise,5,4,10699,3,4,3,59.79090638266193,59.79090638266193,0.0034910783553141972
P031,july,n2_mask_noise,0,2,24317,5,5,5,119.65244204975545,119.65244204975545,0.0029044934221766614
P031,july,n3_mask_noise,1,3,10708,5,5,5,79.56631713214544,79.56631713214544,0.005417956656346749
P031,july,control_anchor,2,1,10734,5,5,5,240.0014912714026,240.0014912714026,0
P031,july,n4_mask_noise,3,4,11253,5,5,5,59.75663716814159,59.75663716814159,0.004056047197640118
P031,july,deployed_full,4,4,10380,5,5,5,58.110781404550075,46.48862512364006,0.031116297160637883
P031,july,n4_mask_only,5,4,10475,5,5,5,59.7392849338238,59.7392849338238,0.00435471100554236
P032,july,n3_mask_noise,0,3,20141,5,5,5,79.63774957857748,79.63774957857748,0.004531410916580845
P032,july,n4_mask_noise,1,4,10541,5,5,5,59.670316198451026,59.670316198451026,0.00550098231827112
P032,july,n2_mask_noise,2,2,10571,5,5,5,119.67069341103938,119.67069341103938,0.00275049115913556
P032,july,n4_mask_only,3,4,12933,4,5,5,59.94222064298825,59.94222064298825,0.0009655616350177019
P032,july,control_anchor,4,1,10606,5,5,5,240.00150885035083,240.00150885035083,0
P032,july,deployed_full,5,4,12199,5,3,4,58.424086612161254,46.739269289729,0.0259567387687188
P033,july,n3_mask_noise,0,3,16711,5,5,5,79.60370809195204,79.60370809195204,0.004961548002976929
P033,july,n4_mask_noise,1,4,15613,5,5,5,59.77709586664021,59.77709586664021,0.003721424774056353
P033,july,n2_mask_noise,2,2,13242,5,5,5,119.69958342435757,119.69958342435757,0.0025109855618330196
P033,july,n4_mask_only,3,4,11005,5,5,5,59.93267215331144,59.93267215331144,0.0011342155009451795
P033,july,control_anchor,4,1,10719,5,5,5,240.0037325619372,240.0037325619372,0
P033,july,deployed_full,5,4,12494,5,4,4,58.46129862031335,46.76903889625068,0.025341130604288498
P034,july,n4_mask_noise,0,4,17157,5,5,4,59.71058202592582,59.71058202592582,0.004833252779120348
P034,july,n4_mask_only,1,4,10656,4,5,4,59.90632318501171,59.90632318501171,0.00156128024980484
P034,july,n3_mask_noise,2,3,10777,3,5,3,79.56939638600538,79.56939638600538,0.005382545174932718
P034,july,deployed_full,3,4,10340,3,3,2,57.900286468782625,46.3202291750261,0.034616880591209646
P034,july,n2_mask_noise,4,2,10329,4,5,3,119.71103234467533,119.71103234467533,0.002414486921529175
P034,july,control_anchor,5,1,10327,5,5,5,239.99999999999997,239.99999999999997,0
P035,july,n4_mask_noise,0,4,10968,3,3,3,59.54857969965623,59.54857969965623,0.007538635506973238
P035,july,n4_mask_only,1,4,11336,3,3,3,59.91227838401999,59.91227838401999,0.0014678899082568807
P035,july,n3_mask_noise,2,3,10906,4,4,4,79.60534714496762,79.60534714496762,0.004939209726443769
P035,july,deployed_full,3,4,12752,2,2,2,58.26795643232539,46.61436514586031,0.02857142857142857
P035,july,n2_mask_noise,4,2,10953,5,5,5,119.72748221621106,119.72748221621106,0.0022770398481973433
P035,july,control_anchor,5,1,10686,5,5,5,240.00224563504767,240.00224563504767,0
P036,july,n4_mask_only,0,4,10554,4,4,4,59.74160694077707,59.74160694077707,0.004322200392927309
P036,july,deployed_full,1,4,10740,4,4,4,58.064109263229874,46.4512874105839,0.03191888847164852
P036,july,n4_mask_noise,2,4,10493,4,4,4,59.78714920442024,59.78714920442024,0.003560126582278481
P036,july,control_anchor,3,1,10406,4,4,4,240.00230771449668,240.00230771449668,0
P036,july,n3_mask_noise,4,3,18928,2,2,2,79.7545581555354,79.7545581555354,0.00307152259763054
