participant_code,batch_id,condition,trial_index,condition_repetition,n,requested_n,components,duration_s,accuracy,wpm,cpm,attempted_chars,attempted_letters,correct_chars,correct_letters,total_chars,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,text_storage_status
P080,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,19.8,99.0,33,29,33,29,220,0,33,0.0,msd_target_prefix_v1,358.0,direct_match
P080,sep10_12,control,3,2,1,1,none,20.0,1.0,20.400000000000002,102.0,34,29,34,29,220,0,34,0.0,msd_target_prefix_v1,1951.5999999996275,direct_match
P081,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,21.0,105.0,35,30,35,30,220,0,35,0.0,msd_target_prefix_v1,464.30000000074506,direct_match
P081,sep10_12,control,1,1,1,1,none,20.0,1.0,20.400000000000002,102.0,34,30,34,30,220,0,34,0.0,msd_target_prefix_v1,1516.199999999255,direct_match
P081,sep10_12,control,2,2,1,1,none,20.0,0.975609756097561,24.0,120.0,41,36,40,35,220,1,40,0.024390243902439025,msd_target_prefix_v1,396.69999999925494,direct_match
P081,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,20.400000000000002,102.0,34,29,34,29,220,0,34,0.0,msd_target_prefix_v1,759.0999999996275,direct_match
P082,sep10_12,control,0,1,1,1,none,20.0,1.0,21.6,108.0,36,31,36,31,220,0,36,0.0,msd_target_prefix_v1,1040.0999999996275,compatible_with_stripped_boundary_spaces
P082,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,18.0,90.0,30,26,30,26,219,0,30,0.0,msd_target_prefix_v1,479.30000000074506,direct_match
P082,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9393939393939394,18.6,93.0,33,28,31,26,220,2,33,0.06060606060606061,msd_target_prefix_v1,1677.2999999988824,direct_match
P082,sep10_12,control,3,2,1,1,none,20.0,1.0,22.200000000000003,111.0,37,31,37,31,220,0,37,0.0,msd_target_prefix_v1,583.6999999992549,compatible_with_stripped_boundary_spaces
