participant_code,batch_id,typing_order,control_wpm,control_cpm,control_accuracy,control_attempted_chars,control_first_key_latency_ms,masked_wpm,masked_cpm,masked_accuracy,masked_attempted_chars,masked_first_key_latency_ms,delta_wpm,delta_cpm,delta_accuracy,delta_attempted_chars,delta_first_key_latency_ms
P031,july,ABBA,19.800000000000004,99.0,0.7367172675521821,48,547.2000000011176,19.200000000000003,96.0,0.8972153972153972,35,427.0499999988824,-0.6000000000000014,-3.0,0.16049812966321508,-13,-120.15000000223517
P032,july,ABBA,21.0,105.0,0.984375,35.5,431.1000000000349,22.200000000000003,111.0,0.986842105263158,37.5,483.20000000001164,1.2000000000000028,6.0,0.002467105263157965,2.0,52.09999999997672
P033,july,BAAB,23.7,118.5,0.9871794871794872,40,794.6500000000233,15.9,79.5,0.7878378378378379,33.5,419.3499999999767,-7.799999999999999,-39.0,-0.19934164934164933,-6.5,-375.30000000004657
P034,july,ABBA,14.4,72.0,0.8059440559440559,29.5,559.3000000000466,16.8,84.0,0.86875,31,467.4000000000233,2.4000000000000004,12.0,0.06280594405594409,1.5,-91.90000000002328
P035,july,BAAB,11.700000000000001,58.5,0.94,21,862.9500000000698,14.400000000000002,72.0,0.8888888888888888,24,530.9999999998836,2.700000000000001,13.5,-0.05111111111111111,3,-331.95000000018626
P036,july,ABBA,20.1,100.5,1.0,33.5,386.94999999995343,16.8,84.0,0.9696969696969697,29,1091.3999999999069,-3.3000000000000007,-16.5,-0.030303030303030276,-4.5,704.4499999999534
P037,july,BAAB,16.5,82.5,1.0,27.5,714.8999999999069,15.600000000000001,78.0,0.9807692307692308,26.5,534.5999999998603,-0.8999999999999986,-4.5,-0.019230769230769162,-1.0,-180.30000000004657
P038,july,ABBA,21.0,105.0,1.0,35,919.0,22.200000000000003,111.0,1.0,37,1111.0,1.2000000000000028,6.0,0.0,2,192.0
P039,july,ABBA,20.400000000000002,102.0,0.9117647058823529,36.5,715.25,18.0,90.0,0.8972222222222223,33,963.3000000002794,-2.400000000000002,-12.0,-0.014542483660130667,-3.5,248.0500000002794
P040,july,BAAB,35.7,178.5,0.9915254237288136,59.5,383.04999999981374,31.200000000000003,156.0,0.9910714285714286,52.5,550.9999999990687,-4.5,-22.5,-0.00045399515738497875,-7.0,167.94999999925494
P041,july,ABBA,14.4,72.0,1.0,24,563.0999999996275,18.6,93.0,1.0,31,595.1500000003725,4.200000000000001,21.0,0.0,7,32.05000000074506
P042,july,BAAB,22.200000000000003,111.0,1.0,37,1747.6500000003725,21.0,105.0,0.9722007722007722,36,1606.449999999255,-1.2000000000000028,-6.0,-0.027799227799227832,-1,-141.2000000011176
P043,july,ABBA,18.6,93.0,0.9833333333333334,31.5,595.1500000003725,18.0,90.0,0.9838709677419355,30.5,446.8999999994412,-0.6000000000000014,-3.0,0.0005376344086021057,-1.0,-148.25000000093132
P044,july,BAAB,22.5,112.5,1.0,37.5,1018.9000000003725,19.8,99.0,1.0,33,1295.199999999255,-2.6999999999999993,-13.5,0.0,-4.5,276.2999999988824
P045,july,ABBA,30.9,154.5,0.9905660377358491,52,838.9499999992549,24.6,123.0,0.975609756097561,42,1202.7000000001863,-6.299999999999997,-31.5,-0.014956281638288105,-10,363.7500000009313
P046,july,BAAB,12.899999999999999,64.5,1.0,21.5,718.5999999996275,12.600000000000001,63.0,0.9199999999999999,22,1243.3999999994412,-0.29999999999999716,-1.5,-0.08000000000000007,0.5,524.7999999998137
P047,july,ABBA,23.400000000000002,117.0,0.9888888888888889,39.5,355.34999999962747,25.799999999999997,129.0,0.9878048780487805,43.5,379.25,2.399999999999995,12.0,-0.0010840108401084514,4.0,23.90000000037253
P048,july,BAAB,31.5,157.5,0.9509869521579124,54.5,283.25,29.1,145.5,0.98,49.5,503.2000000011176,-2.3999999999999986,-12.0,0.02901304784208758,-5.0,219.9500000011176
P049,july,ABBA,22.799999999999997,114.0,0.9861111111111112,38.5,387.19999999925494,19.800000000000004,99.0,0.9428571428571428,35,1607.0999999996275,-2.999999999999993,-15.0,-0.04325396825396832,-3.5,1219.9000000003725
P050,july,BAAB,13.8,69.0,0.890625,26.5,1370.3499999996275,11.100000000000001,55.5,0.7708333333333333,24,1102.8999999994412,-2.6999999999999993,-13.5,-0.11979166666666674,-2.5,-267.45000000018626
P051,july,ABBA,21.9,109.5,0.9861111111111112,37,351.59999999869615,19.200000000000003,96.0,0.9833333333333334,32.5,647.3499999996275,-2.6999999999999957,-13.5,-0.002777777777777768,-4.5,295.7500000009313
P052,july,BAAB,18.300000000000004,91.5,1.0,30.5,1471.199999999255,17.1,85.5,1.0,28.5,1799.5499999988824,-1.2000000000000028,-6.0,0.0,-2.0,328.34999999962747
P053,july,ABBA,15.0,75.0,0.9464285714285714,25.5,327.65000000037253,13.5,67.5,0.9761904761904762,23,295.5,-1.5,-7.5,0.029761904761904767,-2.5,-32.15000000037253
P054,july,BAAB,23.1,115.5,1.0,38.5,743.6500000003725,23.4,117.0,1.0,39,791.6500000003725,0.29999999999999716,1.5,0.0,0.5,48.0
