metric,participant_code,status,control,masked,delta_masked_minus_control
accuracy,P098,retained,98.52941176470588,95.0,-3.529411764705884
accuracy,P099,retained,95.91666666666667,97.41830065359477,1.5016339869280984
accuracy,P100,retained,93.18181818181819,98.75,5.568181818181813
accuracy,P101,retained,98.57142857142858,100.0,1.4285714285714164
accuracy,P102,retained,98.65717375630858,99.28571428571429,0.6285405294057114
accuracy,P103,retained,98.48484848484848,100.0,1.5151515151515156
accuracy,P104,retained,97.37891737891738,99.01960784313727,1.6406904642198867
accuracy,P105,retained,100.0,91.66666666666667,-8.333333333333329
accuracy,P106,retained,93.50446428571428,96.90058479532165,3.396120509607371
wpm,P001,retained,21.9,22.5,0.6000000000000014
wpm,P002,retained,18.0,16.8,-1.1999999999999993
wpm,P003,retained,23.4,20.7,-2.6999999999999993
wpm,P004,highest_3,17.1,22.5,5.399999999999999
wpm,P005,retained,13.2,16.5,3.3000000000000007
wpm,P006,retained,23.700000000000003,21.0,-2.700000000000003
wpm,P007,retained,21.6,18.9,-2.700000000000003
wpm,P008,retained,15.3,13.8,-1.5
wpm,P009,retained,20.400000000000002,18.0,-2.400000000000002
wpm,P010,retained,20.4,21.6,1.2000000000000028
wpm,P011,retained,18.300000000000004,17.1,-1.2000000000000028
wpm,P012,retained,26.7,25.2,-1.5
wpm,P013,retained,20.400000000000002,18.6,-1.8000000000000007
wpm,P014,highest_3,42.6,47.1,4.5
wpm,P015,retained,14.399999999999999,12.900000000000002,-1.4999999999999964
wpm,P016,retained,21.0,14.399999999999999,-6.600000000000001
wpm,P017,retained,24.299999999999997,20.400000000000002,-3.899999999999995
wpm,P018,retained,14.4,14.7,0.29999999999999893
wpm,P019,retained,17.700000000000003,15.600000000000001,-2.1000000000000014
wpm,P020,retained,26.4,30.000000000000004,3.600000000000005
wpm,P021,retained,15.3,14.400000000000002,-0.8999999999999986
wpm,P022,retained,23.400000000000002,23.400000000000002,0.0
wpm,P023,retained,17.1,16.200000000000003,-0.8999999999999986
wpm,P024,retained,14.400000000000002,14.400000000000002,0.0
wpm,P025,retained,18.300000000000004,12.9,-5.400000000000004
wpm,P026,lowest_3,24.299999999999997,16.5,-7.799999999999997
wpm,P027,retained,24.9,19.200000000000003,-5.699999999999996
wpm,P028,retained,19.8,17.400000000000002,-2.3999999999999986
wpm,P029,retained,18.0,15.900000000000002,-2.099999999999998
wpm,P030,retained,16.8,18.300000000000004,1.5000000000000036
wpm,P031,retained,19.800000000000004,19.200000000000003,-0.6000000000000014
wpm,P032,retained,21.0,22.200000000000003,1.2000000000000028
wpm,P033,lowest_3,23.7,15.9,-7.799999999999999
wpm,P034,retained,14.4,16.8,2.4000000000000004
wpm,P035,retained,11.700000000000001,14.400000000000002,2.700000000000001
wpm,P036,retained,20.1,16.8,-3.3000000000000007
wpm,P037,retained,16.5,15.600000000000001,-0.8999999999999986
wpm,P038,retained,21.0,22.200000000000003,1.2000000000000028
wpm,P039,retained,20.400000000000002,18.0,-2.400000000000002
wpm,P040,retained,35.7,31.200000000000003,-4.5
wpm,P041,highest_3,14.4,18.6,4.200000000000001
wpm,P042,retained,22.200000000000003,21.0,-1.2000000000000028
wpm,P043,retained,18.6,18.0,-0.6000000000000014
wpm,P044,retained,22.5,19.8,-2.6999999999999993
wpm,P045,retained,30.9,24.6,-6.299999999999997
wpm,P046,retained,12.899999999999999,12.600000000000001,-0.29999999999999716
wpm,P047,retained,23.400000000000002,25.799999999999997,2.399999999999995
wpm,P048,retained,31.5,29.1,-2.3999999999999986
wpm,P049,retained,22.799999999999997,19.800000000000004,-2.999999999999993
wpm,P050,retained,13.8,11.100000000000001,-2.6999999999999993
wpm,P051,retained,21.9,19.200000000000003,-2.6999999999999957
wpm,P052,retained,18.300000000000004,17.1,-1.2000000000000028
wpm,P053,retained,15.0,13.5,-1.5
wpm,P054,retained,23.1,23.4,0.29999999999999716
wpm,P055,retained,15.900000000000002,16.5,0.5999999999999979
wpm,P056,retained,19.5,21.300000000000004,1.8000000000000043
wpm,P057,retained,23.4,21.6,-1.7999999999999972
wpm,P058,retained,16.5,18.0,1.5
wpm,P059,retained,23.400000000000002,24.9,1.4999999999999964
wpm,P060,retained,21.6,20.4,-1.2000000000000028
wpm,P061,retained,23.700000000000003,17.1,-6.600000000000001
wpm,P062,retained,21.0,20.1,-0.8999999999999986
wpm,P063,retained,19.200000000000003,21.0,1.7999999999999972
wpm,P064,retained,20.700000000000003,22.200000000000003,1.5
wpm,P065,retained,20.400000000000002,16.8,-3.6000000000000014
wpm,P066,retained,26.700000000000003,23.1,-3.6000000000000014
wpm,P067,retained,39.0,32.7,-6.299999999999997
wpm,P068,retained,20.700000000000003,18.0,-2.700000000000003
wpm,P069,retained,24.6,25.5,0.8999999999999986
wpm,P070,retained,21.0,19.8,-1.1999999999999993
wpm,P071,retained,23.4,19.8,-3.599999999999998
wpm,P072,retained,19.800000000000004,21.0,1.1999999999999957
wpm,P073,retained,39.3,33.900000000000006,-5.3999999999999915
wpm,P074,retained,30.0,27.9,-2.1000000000000014
wpm,P075,retained,18.0,14.7,-3.3000000000000007
wpm,P076,retained,22.8,18.6,-4.199999999999999
wpm,P077,retained,39.900000000000006,34.2,-5.700000000000003
wpm,P078,retained,18.6,21.900000000000002,3.3000000000000007
wpm,P079,lowest_3,36.300000000000004,29.1,-7.200000000000003
wpm,P080,retained,19.5,18.0,-1.5
wpm,P081,retained,22.200000000000003,20.700000000000003,-1.5
wpm,P082,retained,21.900000000000002,18.3,-3.6000000000000014
wpm,P083,retained,23.1,18.900000000000002,-4.199999999999999
wpm,P084,retained,19.200000000000003,14.700000000000001,-4.500000000000002
wpm,P085,retained,32.1,26.1,-6.0
wpm,P086,retained,25.800000000000004,23.7,-2.100000000000005
wpm,P087,retained,21.6,22.5,0.8999999999999986
wpm,P088,retained,18.6,19.200000000000003,0.6000000000000014
wpm,P089,retained,28.8,32.7,3.900000000000002
wpm,P090,retained,18.900000000000002,18.6,-0.3000000000000007
wpm,P091,retained,36.6,36.3,-0.30000000000000426
wpm,P092,retained,30.6,24.300000000000004,-6.299999999999997
wpm,P093,retained,21.3,18.6,-2.6999999999999993
wpm,P094,retained,21.3,23.700000000000003,2.400000000000002
wpm,P095,retained,21.300000000000004,20.4,-0.9000000000000057
wpm,P096,retained,16.200000000000003,13.8,-2.400000000000002
wpm,P097,retained,20.1,20.400000000000002,0.3000000000000007
wpm,P098,retained,21.3,22.8,1.5
wpm,P099,retained,28.2,23.1,-5.099999999999998
wpm,P100,retained,24.9,26.1,1.2000000000000028
wpm,P101,retained,18.300000000000004,21.9,3.5999999999999943
wpm,P102,retained,44.1,44.10000000000001,7.105427357601002e-15
wpm,P103,retained,18.300000000000004,16.5,-1.8000000000000043
wpm,P104,retained,35.1,32.7,-2.3999999999999986
wpm,P105,retained,18.900000000000002,15.0,-3.900000000000002
wpm,P106,retained,28.800000000000004,29.700000000000003,0.8999999999999986
first_key_latency_ms,P001,retained,775.0500000000466,791.2000000000698,16.150000000023283
first_key_latency_ms,P002,retained,478.7500000001164,547.5,68.74999999988358
first_key_latency_ms,P003,retained,475.29999999981374,446.89999999990687,-28.399999999906868
first_key_latency_ms,P004,retained,426.85000000009313,619.0500000000466,192.19999999995343
first_key_latency_ms,P005,retained,351.60000000009313,351.24999999976717,-0.3500000003259629
first_key_latency_ms,P006,retained,374.85000000009313,327.69999999995343,-47.1500000001397
first_key_latency_ms,P007,retained,1023.0,894.9999999995343,-128.00000000046566
first_key_latency_ms,P008,lowest_3,1795.1499999999069,563.0,-1232.1499999999069
first_key_latency_ms,P009,retained,303.3000000002794,335.04999999981374,31.74999999953434
first_key_latency_ms,P010,retained,958.6499999999069,706.8000000002794,-251.84999999962747
first_key_latency_ms,P011,retained,547.0500000002794,502.85000000009313,-44.200000000186265
first_key_latency_ms,P012,retained,479.1999999997206,383.15000000037253,-96.04999999934807
first_key_latency_ms,P013,retained,475.1499999994412,303.39999999990687,-171.74999999953434
first_key_latency_ms,P014,retained,355.35000000009313,275.00000000046566,-80.34999999962747
first_key_latency_ms,P015,retained,635.7499999990687,539.3499999996275,-96.3999999994412
first_key_latency_ms,P016,highest_3,499.29999999981374,1655.5999999996275,1156.2999999998137
first_key_latency_ms,P017,retained,343.20000000018626,403.15000000037253,59.950000000186265
first_key_latency_ms,P018,lowest_3,2190.7000000001863,799.3500000005588,-1391.3499999996275
first_key_latency_ms,P019,retained,859.5499999998137,1151.3500000005588,291.80000000074506
first_key_latency_ms,P020,retained,331.45000000018626,719.2000000011176,387.7500000009313
first_key_latency_ms,P021,retained,718.9000000003725,1359.75,640.8499999996275
first_key_latency_ms,P022,retained,178.40000000037253,1255.25,1076.8499999996275
first_key_latency_ms,P023,retained,543.5,443.0,-100.5
first_key_latency_ms,P024,retained,1439.5999999996275,1114.5499999988824,-325.05000000074506
first_key_latency_ms,P025,retained,1535.4500000011176,1179.2999999988824,-356.1500000022352
first_key_latency_ms,P026,retained,851.0500000007451,1651.25,800.1999999992549
first_key_latency_ms,P027,retained,691.0,1191.4500000011176,500.4500000011176
first_key_latency_ms,P028,retained,1003.5,2027.2000000011176,1023.7000000011176
first_key_latency_ms,P029,retained,1642.5499999988824,1175.5,-467.0499999988824
first_key_latency_ms,P030,retained,639.25,927.2999999970198,288.04999999701977
first_key_latency_ms,P031,retained,547.2000000011176,427.0499999988824,-120.15000000223517
first_key_latency_ms,P032,retained,431.1000000000349,483.20000000001164,52.09999999997672
first_key_latency_ms,P033,retained,794.6500000000233,419.3499999999767,-375.30000000004657
first_key_latency_ms,P034,retained,559.3000000000466,467.4000000000233,-91.90000000002328
first_key_latency_ms,P035,retained,862.9500000000698,530.9999999998836,-331.95000000018626
first_key_latency_ms,P036,retained,386.94999999995343,1091.3999999999069,704.4499999999534
first_key_latency_ms,P037,retained,714.8999999999069,534.5999999998603,-180.30000000004657
first_key_latency_ms,P038,retained,919.0,1111.0,192.0
first_key_latency_ms,P039,retained,715.25,963.3000000002794,248.0500000002794
first_key_latency_ms,P040,retained,383.04999999981374,550.9999999990687,167.94999999925494
first_key_latency_ms,P041,retained,563.0999999996275,595.1500000003725,32.05000000074506
first_key_latency_ms,P042,retained,1747.6500000003725,1606.449999999255,-141.2000000011176
first_key_latency_ms,P043,retained,595.1500000003725,446.8999999994412,-148.25000000093132
first_key_latency_ms,P044,retained,1018.9000000003725,1295.199999999255,276.2999999988824
first_key_latency_ms,P045,retained,838.9499999992549,1202.7000000001863,363.7500000009313
first_key_latency_ms,P046,retained,718.5999999996275,1243.3999999994412,524.7999999998137
first_key_latency_ms,P047,retained,355.34999999962747,379.25,23.90000000037253
first_key_latency_ms,P048,retained,283.25,503.2000000011176,219.9500000011176
first_key_latency_ms,P049,highest_3,387.19999999925494,1607.0999999996275,1219.9000000003725
first_key_latency_ms,P050,retained,1370.3499999996275,1102.8999999994412,-267.45000000018626
first_key_latency_ms,P051,retained,351.59999999869615,647.3499999996275,295.7500000009313
