metric,sample,n,control_mean,control_sd,control_ci_low,control_ci_high,masked_mean,masked_sd,masked_ci_low,masked_ci_high,difference_mean,difference_sd,difference_ci_low,difference_ci_high
accuracy,original,106,97.26427388632756,4.2970475931468615,96.40757728528175,98.02969906939394,95.9781754183368,4.4534550874691226,95.11093487376964,96.79201787424881,-1.2860984679907623,5.2639012437284,-2.2850323575029465,-0.32537216547783415
accuracy,trimmed,100,97.70180048245363,3.2791690598720153,97.02159066736988,98.30315942535887,96.43478362115052,3.8128704121798918,95.64812973165049,97.12706040996267,-1.2670168613031496,3.990494508899578,-2.0287886359226603,-0.5063303354448515
wpm,original,106,22.372641509433965,6.539717964194858,21.183891509433963,23.660377358490567,20.997169811320752,6.251376344410959,19.87068396226415,22.23120283018868,-1.3754716981132074,2.901487674928639,-1.9160377358490566,-0.8264150943396226
wpm,trimmed,100,22.131000000000004,6.183093518178862,20.964000000000006,23.382075000000007,20.76,5.770457678397947,19.662,21.93,-1.371,2.5740858924709915,-1.8719999999999999,-0.8729999999999998
first_key_latency_ms,original,106,650.5018867924582,385.9189777367274,581.7101297170639,726.3191627359012,722.230660377324,436.85654638833336,641.5049764150431,806.7154481131836,71.72877358486585,447.23654910422493,-14.27840801891273,158.35994103766845
first_key_latency_ms,trimmed,100,624.0645000000103,339.4496074154281,561.4777999999986,693.0225874999423,693.226499999956,397.14424175643296,618.4754124999151,773.5772874999163,69.16199999994569,325.3408185862895,7.300174999966206,132.88983749985258
