participant_code,participant_id,condition_label,display_label,n,requested_n,components,stimulus_text,readability,flicker,fatigue,privacy,order_index,view_duration_ms,view_started_at,view_submitted_at,mask_meta_json
P016,21,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,pozifo vawim enol vagurug afasot vusi everi obamifi zimadis wawabur zivur ibolu omakow uroga edaz girugez tizon bofifa notug ganate pubigo udupadi taba zapit gilizi webi,5,5,5,,2,10709,2026-07-08T05:12:21.267Z,2026-07-08T05:12:31.976Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52038, 51549, 51680, 51733], ""cycle_hz"": 59.523809523799216, ""cycles"": 1, ""dropped_frame_rate"": 0.0034883720930232558, ""dropped_frames"": 9, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 41.70000000001164, ""mean_frame_interval_ms"": 4.181213535589262, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.791253872129076, ""observed_full_cycle_hz"": 59.791253872129076, ""observed_refresh_hz"": 239.1650154885163, ""per_cycle_slots"": 4, ""permutation"": [3, 0, 2, 1], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2572, ""safe_flicker_hz"": 50, ""timing_intervals"": 2571, ""width"": 900}"
P016,21,control_anchor,未遮罩原文（量表锚点）,1,1,none,suweton sima ozogure epefak nemu ureval awalobo tomiwuk imetu rakud tetal urozoto fobakur gepidol ofev rino omarago awinef pene ikud enerobe uviter aseko iwalafu notuz ok,5,5,5,,3,10606,2026-07-08T05:12:31.978Z,2026-07-08T05:12:42.584Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809519686, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.399999999965075, ""mean_frame_interval_ms"": 4.166627358490575, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.002264172303, ""observed_full_cycle_hz"": 240.002264172303, ""observed_refresh_hz"": 240.002264172303, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2545, ""safe_flicker_hz"": 50, ""timing_intervals"": 2544, ""width"": 900}"
P016,21,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,akonof boroko muwaki vuzatuk safita bafokak ogogi uzed suwi ugema gafawod irut wotopad uvekabi vamilif opif evefor ipedara sibot odokoke turamir irupape ezabak tubofi lop,5,5,5,,4,12567,2026-07-08T05:12:42.641Z,2026-07-08T05:12:55.208Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69089, 68841, 69070], ""cycle_hz"": 79.36507936506563, ""cycles"": 1, ""dropped_frame_rate"": 0.003961703532518983, ""dropped_frames"": 12, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 54.100000000034925, ""mean_frame_interval_ms"": 4.183195227046739, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.68390554142526, ""observed_full_cycle_hz"": 79.68390554142526, ""observed_refresh_hz"": 239.05171662427577, ""per_cycle_slots"": 3, ""permutation"": [2, 1, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 3018, ""safe_flicker_hz"": 50, ""timing_intervals"": 3017, ""width"": 900}"
P016,21,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,mubo ivago ogib somomo danozo vena zibalup vikef kotimo okib zeki viwi ukevon vefomiv eminere kale wofi edik uposu apuduru makapu ogodeg iseve zudelu zopu fafaz neleg ani,5,5,5,,5,11902,2026-07-08T05:12:55.282Z,2026-07-08T05:13:07.185Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103167, 103833], ""cycle_hz"": 119.04761904759843, ""cycles"": 1, ""dropped_frame_rate"": 0.005569091541942221, ""dropped_frames"": 16, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 70.70000000001164, ""mean_frame_interval_ms"": 4.18995449772489, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.33303816819391, ""observed_full_cycle_hz"": 119.33303816819391, ""observed_refresh_hz"": 238.66607633638782, ""per_cycle_slots"": 2, ""permutation"": [1, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2858, ""safe_flicker_hz"": 50, ""timing_intervals"": 2857, ""width"": 900}"
P017,22,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,moguti rakoma vinuna ulorado kedof kofegod wove etogiw liput gifises rikib rofiteg ofutefi paziz lipi sirudeb alobute noki uzezap nivovo ovawe gopo puzopa mefupig lanivi,5,5,5,,0,10418,2026-07-08T05:17:56.846Z,2026-07-08T05:18:07.264Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51766, 52036, 51698, 51500], ""cycle_hz"": 59.523809523824994, ""cycles"": 1, ""dropped_frame_rate"": 0.004378980891719745, ""dropped_frames"": 11, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 50, ""mean_frame_interval_ms"": 4.184966013594565, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.737641641029526, ""observed_full_cycle_hz"": 59.737641641029526, ""observed_refresh_hz"": 238.9505665641181, ""per_cycle_slots"": 4, ""permutation"": [3, 2, 0, 1], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 2502, ""safe_flicker_hz"": 50, ""timing_intervals"": 2501, ""width"": 900}"
P017,22,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,ipen ipiduvu isib pividu tepodow nora eniveru utufem vugef ufuwu natido ruvi kugati wuri fupekuk erem igew poweki eriwi umigi ivawew gelu pawubu gudiwo wofow vazi ezemiki,5,5,5,,1,10686,2026-07-08T05:18:07.626Z,2026-07-08T05:18:18.312Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 25678, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51686, 51855, 51825, 51634], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0.03207547169811321, ""dropped_frames"": 85, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 362.5999999999767, ""mean_frame_interval_ms"": 4.3063547758284555, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.05373988303253, ""observed_full_cycle_hz"": 46.44299190642602, ""observed_refresh_hz"": 232.2149595321301, ""per_cycle_slots"": 5, ""permutation"": [3, 2, 1, 0], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 2566, ""safe_flicker_hz"": 50, ""timing_intervals"": 2565, ""width"": 900}"
P017,22,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,ozogur nini udiwunu odok widab iranazi oseniw atela ifura epuf ifol zabalo iles sekibam vivafi dupifer seta enumus ogiwi moruv ogesut letupur vadula lapomef fizi ruka ani,5,5,5,,2,10308,2026-07-08T05:18:18.356Z,2026-07-08T05:18:28.664Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52166, 51779, 51331, 51724], ""cycle_hz"": 59.523809523824994, ""cycles"": 1, ""dropped_frame_rate"": 0.003624647603705195, ""dropped_frames"": 9, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 41.79999999998836, ""mean_frame_interval_ms"": 4.1818108326596555, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.78271375824013, ""observed_full_cycle_hz"": 59.78271375824013, ""observed_refresh_hz"": 239.1308550329605, ""per_cycle_slots"": 4, ""permutation"": [0, 1, 3, 2], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 2475, ""safe_flicker_hz"": 50, ""timing_intervals"": 2474, ""width"": 900}"
P017,22,control_anchor,未遮罩原文（量表锚点）,1,1,none,eguwup ifilu goguv omuv afezifi ewurive owute ovalusi erewe nuferal afowa zoduf tamerev ezow epiru nirob pozogem viba vemoni pobug idid utus urizibe nazoliw menak vilego,5,5,5,,3,12566,2026-07-08T05:18:28.666Z,2026-07-08T05:18:41.232Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.599999999976717, ""mean_frame_interval_ms"": 4.1666114058355435, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00318306608844, ""observed_full_cycle_hz"": 240.00318306608844, ""observed_refresh_hz"": 240.00318306608844, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 3017, ""safe_flicker_hz"": 50, ""timing_intervals"": 3016, ""width"": 900}"
P017,22,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,luliw ipunu wuvuva sapip ebub afuta gasi esoko etifino agamak atofug avapazi osanum vikamu amopam aragen ewiva botusu nufakot ekop ninu owofef ofulinu fizosi donema petek,4,4,4,,4,12023,2026-07-08T05:18:41.297Z,2026-07-08T05:18:53.320Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69169, 68983, 68848], ""cycle_hz"": 79.36507936509999, ""cycles"": 1, ""dropped_frame_rate"": 0.004827586206896552, ""dropped_frames"": 14, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 62.60000000000582, ""mean_frame_interval_ms"": 4.186832986832991, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.61467161016941, ""observed_full_cycle_hz"": 79.61467161016941, ""observed_refresh_hz"": 238.84401483050823, ""per_cycle_slots"": 3, ""permutation"": [2, 0, 1], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 2887, ""safe_flicker_hz"": 50, ""timing_intervals"": 2886, ""width"": 900}"
P017,22,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,lepek rabepa ugani parap zadof itivur owagore roveke gukuk uwufi onep felowe okavek ukepako rebomot rebago etimun aret wapobi omenu pirulem ivazor ratif ugez dupu ivosu i,4,4,4,,5,12499,2026-07-08T05:18:53.405Z,2026-07-08T05:19:05.904Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103398, 103602], ""cycle_hz"": 119.04761904764999, ""cycles"": 1, ""dropped_frame_rate"": 0.006293474660483604, ""dropped_frames"": 19, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 83.29999999998836, ""mean_frame_interval_ms"": 4.193033333333325, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.24541501379295, ""observed_full_cycle_hz"": 119.24541501379295, ""observed_refresh_hz"": 238.4908300275859, ""per_cycle_slots"": 2, ""permutation"": [0, 1], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 3001, ""safe_flicker_hz"": 50, ""timing_intervals"": 3000, ""width"": 900}"
P018,23,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,rudenem wupa erezavi ewug kapona lilu visofet uveka ogere enezawe sufiro weli kipok dolira nofofun bitused irug tavef nibo zadep vumepo ogaga ipon ekata dagob gebud ifono,5,5,5,,0,16445,2026-07-08T05:23:47.571Z,2026-07-08T05:24:04.016Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 25705, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51607, 52028, 51978, 51387], ""cycle_hz"": 59.523809523799216, ""cycles"": 6, ""dropped_frame_rate"": 0.023503216229589313, ""dropped_frames"": 95, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 400, ""mean_frame_interval_ms"": 4.2679756777299245, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.57577898217345, ""observed_full_cycle_hz"": 46.86062318573876, ""observed_refresh_hz"": 234.3031159286938, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 3, 1], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 3948, ""safe_flicker_hz"": 50, ""timing_intervals"": 3947, ""width"": 900}"
P018,23,control_anchor,未遮罩原文（量表锚点）,1,1,none,vikowu vevode gegot izek epazap ewup razu ulegol movegu kagig epusuri sezelir efufilo iwoz memaz etekara orama elegu gapiri ekeg arimigi kenusuz nina udisi utevuwo ubeg s,5,5,5,,1,10806,2026-07-08T05:24:04.018Z,2026-07-08T05:24:14.824Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809519686, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.399999999994179, ""mean_frame_interval_ms"": 4.166628086419751, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0022222427987, ""observed_full_cycle_hz"": 240.0022222427987, ""observed_refresh_hz"": 240.0022222427987, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2593, ""safe_flicker_hz"": 50, ""timing_intervals"": 2592, ""width"": 900}"
P018,23,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,ebibos ewabug ipisuli okovo loli izase zesa kelage unef onifil akono ekipad bosikil epigi rapukup debibu fivime fatigap olad davu ufip umud alafo kuvufev ubowoki udare is,5,5,5,,2,10518,2026-07-08T05:24:14.850Z,2026-07-08T05:24:25.368Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52056, 51399, 51560, 51985], ""cycle_hz"": 59.523809523799216, ""cycles"": 1, ""dropped_frame_rate"": 0.001976284584980237, ""dropped_frames"": 5, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 25.10000000000582, ""mean_frame_interval_ms"": 4.174891089108913, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.88180162404186, ""observed_full_cycle_hz"": 59.88180162404186, ""observed_refresh_hz"": 239.52720649616745, ""per_cycle_slots"": 4, ""permutation"": [3, 1, 2, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2526, ""safe_flicker_hz"": 50, ""timing_intervals"": 2525, ""width"": 900}"
P018,23,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,sowofe duse risuwoz wape akeg pugan runan azuget gebe bopafa usumudi emute ibapul obifo kuwelum oges saviwug dufuko anot owafofo uwezeb emefi owafi ezum ofawu penabaw waw,5,5,5,,3,10783,2026-07-08T05:24:25.441Z,2026-07-08T05:24:36.224Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103701, 103299], ""cycle_hz"": 119.04761904759843, ""cycles"": 1, ""dropped_frame_rate"": 0.006144393241167435, ""dropped_frames"": 16, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 70.79999999998836, ""mean_frame_interval_ms"": 4.192387944358565, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.26377201633233, ""observed_full_cycle_hz"": 119.26377201633233, ""observed_refresh_hz"": 238.52754403266465, ""per_cycle_slots"": 2, ""permutation"": [1, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2589, ""safe_flicker_hz"": 50, ""timing_intervals"": 2588, ""width"": 900}"
P018,23,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,izugepa pogil fusob odipete rakak tubak nufumuf kadabiw woda awesilu eraku fobike igez ilut tigis irifir ivapigi elal elibumi oded iwon pogeve ivamam feze utotok vovemu a,5,5,5,,4,10487,2026-07-08T05:24:36.281Z,2026-07-08T05:24:46.768Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52024, 51431, 51828, 51717], ""cycle_hz"": 59.523809523799216, ""cycles"": 1, ""dropped_frame_rate"": 0.005138339920948616, ""dropped_frames"": 13, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 58.29999999998836, ""mean_frame_interval_ms"": 4.188200238379027, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.69151085688261, ""observed_full_cycle_hz"": 59.69151085688261, ""observed_refresh_hz"": 238.76604342753043, ""per_cycle_slots"": 4, ""permutation"": [2, 3, 0, 1], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2518, ""safe_flicker_hz"": 50, ""timing_intervals"": 2517, ""width"": 900}"
P018,23,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,ekogu finuk tulekep eminuz unon imizap iferetu oledo ofizav okako idinet giga vepusen vumele zofadif rawu ipebiso kugibum uwezon nunopoz ovemaw awofur afegeri oduli idefu,5,5,5,,5,10510,2026-07-08T05:24:46.818Z,2026-07-08T05:24:57.328Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69183, 68894, 68923], ""cycle_hz"": 79.36507936506563, ""cycles"": 1, ""dropped_frame_rate"": 0.004340962904498816, ""dropped_frames"": 11, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 50, ""mean_frame_interval_ms"": 4.184780023781218, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.65372885529722, ""observed_full_cycle_hz"": 79.65372885529722, ""observed_refresh_hz"": 238.96118656589164, ""per_cycle_slots"": 3, ""permutation"": [2, 0, 1], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2524, ""safe_flicker_hz"": 50, ""timing_intervals"": 2523, ""width"": 900}"
P019,24,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,dumowa iwofalo beza uzuf daza nezosal nekogem bikizo ozow tiletaf ibakok bebitum onoged dozo magufe soku ovigof lugude efamil elegu olade afowuz tomig piwisew ozonewo azu,5,2,3,,0,21788,2026-07-08T05:29:14.188Z,2026-07-08T05:29:35.976Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 26051, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51889, 51557, 51910, 51644], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0.01784037558685446, ""dropped_frames"": 95, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 404.30000000001746, ""mean_frame_interval_ms"": 4.243097514340343, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.9192209594708, ""observed_full_cycle_hz"": 47.13537676757664, ""observed_refresh_hz"": 235.6768838378832, ""per_cycle_slots"": 5, ""permutation"": [0, 3, 2, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 5231, ""safe_flicker_hz"": 50, ""timing_intervals"": 5230, ""width"": 900}"
P019,24,control_anchor,未遮罩原文（量表锚点）,1,1,none,zepa nigi omawe ikuvowu luwesuz etopas ogezu nadagiz emowa nobaluv uzaka opel posiz esobuta uzami afuk fived obura tago araku atogik riwat izeleb onov lugo amagoro kitok,5,5,5,,1,10782,2026-07-08T05:29:35.978Z,2026-07-08T05:29:46.760Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166640896791653, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0014843539812, ""observed_full_cycle_hz"": 240.0014843539812, ""observed_refresh_hz"": 240.0014843539812, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2588, ""safe_flicker_hz"": 50, ""timing_intervals"": 2587, ""width"": 900}"
P019,24,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,rubolo kona eluwita pefole owebu wusofek dizis obora fere itofafu dowase idup miwugo gedafev niro pumar anubu efalive iwer izidusu tovedul suro lenuwit deti avina kaniz z,5,5,4,,2,11270,2026-07-08T05:29:46.786Z,2026-07-08T05:29:58.056Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51565, 51741, 51952, 51742], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.0014760147601476014, ""dropped_frames"": 4, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 20.70000000001164, ""mean_frame_interval_ms"": 4.1727642276422765, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.9123234291281, ""observed_full_cycle_hz"": 59.9123234291281, ""observed_refresh_hz"": 239.6492937165124, ""per_cycle_slots"": 4, ""permutation"": [3, 1, 0, 2], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2707, ""safe_flicker_hz"": 50, ""timing_intervals"": 2706, ""width"": 900}"
P019,24,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,iwaturo zufutub avumo debu kuzunol sazor sosane eten uruno kativ irog menu diro oleno azitod abufapi felovu foso ikez apulama sasu abeda gawen dinow rizupa orabip iwonis,5,5,5,,3,10461,2026-07-08T05:29:58.131Z,2026-07-08T05:30:08.592Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103637, 103363], ""cycle_hz"": 119.04761904770155, ""cycles"": 1, ""dropped_frame_rate"": 0.006331618519984171, ""dropped_frames"": 16, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 70.79999999998836, ""mean_frame_interval_ms"": 4.193189964157709, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.24096076587735, ""observed_full_cycle_hz"": 119.24096076587735, ""observed_refresh_hz"": 238.4819215317547, ""per_cycle_slots"": 2, ""permutation"": [0, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2512, ""safe_flicker_hz"": 50, ""timing_intervals"": 2511, ""width"": 900}"
P019,24,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,otunoli idugigo famuru nusi zosa agove gurage bufapu dusu urimun vunife pome imuma ikit inalagu tegago owalu omazul edib ovatu gige unetav lebemu mawoz emagif azusiz tona,5,5,5,,4,10601,2026-07-08T05:30:08.647Z,2026-07-08T05:30:19.248Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52012, 51828, 51215, 51945], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.004692999608916699, ""dropped_frames"": 12, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 54.20000000001164, ""mean_frame_interval_ms"": 4.186286836935181, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.718793703832134, ""observed_full_cycle_hz"": 59.718793703832134, ""observed_refresh_hz"": 238.87517481532853, ""per_cycle_slots"": 4, ""permutation"": [1, 2, 3, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2546, ""safe_flicker_hz"": 50, ""timing_intervals"": 2545, ""width"": 900}"
