metric,sample,n,control_mean,control_sd,control_ci_low,control_ci_high,masked_mean,masked_sd,masked_ci_low,masked_ci_high,difference_mean,difference_sd,difference_ci_low,difference_ci_high
accuracy,original,106,97.26427388632756,4.2970475931468615,96.40757728528175,98.02969906939394,95.9781754183368,4.4534550874691226,95.11093487376964,96.79201787424881,-1.2860984679907623,5.2639012437284,-2.2850323575029465,-0.32537216547783415
accuracy,trimmed,96,98.01062978424805,2.6043985551205426,97.47583662772895,98.507644199526,96.81281538652615,3.039086692093784,96.18455244753295,97.38754878134323,-1.197814397721887,3.5806475709507306,-1.9282769814732734,-0.49707280362605705
wpm,original,106,22.372641509433965,6.539717964194858,21.183891509433963,23.660377358490567,20.997169811320752,6.251376344410959,19.87068396226415,22.23120283018868,-1.3754716981132074,2.901487674928639,-1.9160377358490566,-0.8264150943396226
wpm,trimmed,96,22.0125,6.255141043468502,20.837500000000002,23.268828125,20.64375,5.632085011693927,19.568671875,21.787500000000005,-1.3687500000000001,2.403476101071332,-1.8468749999999998,-0.8906250000000001
first_key_latency_ms,original,106,650.5018867924582,385.9189777367274,581.7101297170639,726.3191627359012,722.230660377324,436.85654638833336,641.5049764150431,806.7154481131836,71.72877358486585,447.23654910422493,-14.27840801891273,158.35994103766845
first_key_latency_ms,trimmed,96,618.8843750000102,336.53378764542293,555.1290104167621,687.7873958333779,682.2286458332734,371.4202727187513,608.8546744791347,757.2890104165996,63.34427083326318,281.7014919593132,5.957760416513346,118.7647656249309
