participant_code,participant_id,condition,trial_index,condition_repetition,n,requested_n,components,target_text,typed_text,correct_chars,correct_letters,attempted_chars,attempted_letters,total_chars,accuracy,cpm,wpm,duration_s,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,mask_meta_json
P043,53,control,3,2,1,1,none,upiz falepeg apufur supepip sarili asib dowe afupoz ipakup ekuwada amasi utodes etama zewameb oweko ifofize momakel rapefis rete sezowad ebotomi tusar zewipew uwef inonoru onawuf ivin fabazi osugan deve linumir ikalagu f,uoiz falepeg apufur supepip sa,29,25,30,26,220,0.9666666666666667,87.0,17.400000000000002,20.0,1,30,0.03333333333333333,msd_target_prefix_v1,847.5,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.399999999994179, ""mean_frame_interval_ms"": 4.166659720775159, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0004000840178, ""observed_full_cycle_hz"": 240.0004000840178, ""observed_refresh_hz"": 240.0004000840178, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P044,54,masked,0,1,4,4,mask+noise+anti-ocr+inversion,vevup apeto wevok uged viba aluw dedol abim nanigus viwi nasesu ifesod zola igego givo mifas zimekup ogovoba galisat ilalaga igid fulosa ogedog mufekul lolu lagigin uwonune afutede ozunam sufaru fedode inodipe itup vebi,vevup apeto wevok uged viba aluw,33,27,33,27,219,1.0,99.0,19.8,20.0,0,33,0.0,msd_target_prefix_v1,1231.0,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 35428, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58399, 58316, 58662, 58623], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00040008601846, ""observed_full_cycle_hz"": 48.000320068814766, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 5, ""permutation"": [3, 2, 1, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P044,54,control,1,1,1,1,none,omuse iseduz vatake mola unes mukib ovug awuw odamu pepos efulev dudoni ebuwobe fases igesine levumap vonoga oketanu minu emital kalo odudipa botoni vifasid avav ukipo ewukola ibup efezu uvefit roliv tevarot adumik lunab,omuse iseduz vatake mola unes mukib ovu,39,33,39,33,220,1.0,117.0,23.400000000000002,20.0,0,39,0.0,msd_target_prefix_v1,1022.9000000003725,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.300000000017462, ""mean_frame_interval_ms"": 4.166625000000003, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00240002400005, ""observed_full_cycle_hz"": 240.00240002400005, ""observed_refresh_hz"": 240.00240002400005, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P044,54,control,2,2,1,1,none,ufos urilos ufemewo apakos ibuke edoga viregi ozuf furab ekigo tage isoma tudoti esak robop muta erag omotat epape ofezuva soner date dilupib pigoko umuku urozen egozudu wobimoz imetuf eviv vobipo fego ozido pumomag iket,ufos urilos ufemewo apakos ibuke edo,36,31,36,31,220,1.0,108.0,21.6,20.0,0,36,0.0,msd_target_prefix_v1,1014.9000000003725,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166659720775159, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0004000840178, ""observed_full_cycle_hz"": 240.0004000840178, ""observed_refresh_hz"": 240.0004000840178, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P044,54,masked,3,2,4,4,mask+noise+anti-ocr+inversion,epipuk efove zawu vasi ibar usado erav bubuwel zamapu adaf ripezab abut gelo nolide anivota ikure apareg abatiki legav zigif volod sako nefesoz elad ukom upur enog fubama ubikaza kive odufum ipad alozu muluzek nufugu ofi,epipuk efove zawu vasi ibar usado,33,28,33,28,220,1.0,99.0,19.8,20.0,0,33,0.0,msd_target_prefix_v1,1359.3999999985099,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34731, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [59016, 58350, 58254, 58380], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00040008601846, ""observed_full_cycle_hz"": 48.000320068814766, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 5, ""permutation"": [3, 2, 0, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P045,55,control,0,1,1,1,none,nadi afalo luraw depoto nuderit aketu kositaz sebo mitiwu agomot ikesiw balemiw lanak edufa zisipi idokev owipuk irig akago rofugo otev wusure sonu lola wetovid fuvofin ireni ufan ebur avigad okivit awegizi reregub avafu,"nadi afalo luraw depoto nuderit aketu kositaz sebo ,i",52,44,53,45,220,0.9811320754716981,156.0,31.200000000000003,20.0,1,53,0.018867924528301886,msd_target_prefix_v1,1078.699999999255,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 5, ""mean_frame_interval_ms"": 4.166625000000001, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0024000240002, ""observed_full_cycle_hz"": 240.0024000240002, ""observed_refresh_hz"": 240.0024000240002, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P045,55,masked,1,1,4,4,mask+noise+anti-ocr+inversion,osisasu owab nonut sosu umezomi enan uwov ifun navu netupo giziraf kako efobuz akum uzemo mubinom obano vitemu enozom pakon gamu toguko ufise gupi unaba evatiru losil tuzov riru iretop eradip vuwepod meko gifit wumofuf o,osisasu owab nonut sosu unezomi enan uwon,39,33,41,35,220,0.9512195121951219,117.0,23.400000000000002,20.0,2,41,0.04878048780487805,msd_target_prefix_v1,806.0,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34271, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58280, 58996, 58441, 58283], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166645833333335, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00030000149999, ""observed_full_cycle_hz"": 48.00024000119999, ""observed_refresh_hz"": 240.00120000599995, ""per_cycle_slots"": 5, ""permutation"": [1, 3, 0, 2], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P045,55,masked,2,2,4,4,mask+noise+anti-ocr+inversion,powinud vulen edup agowoku geto obil udoros lerum ogelol telini buvife delod nozu fiwe olotaga abus tugi teban abofura osekin awap sebu gemig nukew edolu netekam ofow asemoru zasafuf uwumu dufud ipono gufiza eguvego uzeb,powinud vulen edup agowoku geto obil udoros,43,37,43,37,220,1.0,129.0,25.8,20.0,0,43,0.0,msd_target_prefix_v1,1599.4000000003725,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 35108, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58593, 58571, 58414, 58422], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166618045426132, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.000700154033865, ""observed_full_cycle_hz"": 48.00056012322709, ""observed_refresh_hz"": 240.00280061613546, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 1, 3], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P045,55,control,3,2,1,1,none,bozunad uvuf late teko kote enusetu padu koninaz uvemubo kinavid ozibeme batomad netu isozow gezamu kapos sofe pelafuz izawu wuge uroduti ivuwe gusason ginetas zokirek udude levasov uwukuke volenok avosuk ofigiro upelaku,bozunad uvuf late teko kote enusetu padu koninaz uv,51,43,51,43,220,1.0,153.0,30.599999999999998,20.0,0,51,0.0,msd_target_prefix_v1,599.1999999992549,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.399999999994179, ""mean_frame_interval_ms"": 4.166638883100642, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407418, ""observed_full_cycle_hz"": 240.00160034407418, ""observed_refresh_hz"": 240.00160034407418, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P046,56,masked,0,1,4,4,mask+noise+anti-ocr+inversion,lorowa ponem bawe lonape zazufep pizimiv ifekin tasewu nepoz lodobod onurive kutu uwafaw evirusa bavuwi dilop likume nididi zokag debada evemaf evibivo evim iribote lovonep iwufum ilefa gevuvi utema oseto aliv ifakeb iba,iorwa ponen bawe loape,21,17,23,19,220,0.84,63.0,12.600000000000001,20.0,4,25,0.16,msd_target_prefix_v1,1151.199999999255,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34970, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58125, 58657, 58680, 58538], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.399999999994179, ""mean_frame_interval_ms"": 4.166638883100646, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.000400086018495, ""observed_full_cycle_hz"": 48.000320068814794, ""observed_refresh_hz"": 240.00160034407398, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 1, 3], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P046,56,control,1,1,1,1,none,ubab vigosar buribit owufi nopomi siwo koza egal ubero tofe ulod wizo nivara gone belik imidof itagega awibi uwowada mito ivuzo inawi gomasok devoz rowovim toro eludiro waga bunoli gimub ubon kanog eviwa vetaf egula obiw,ubab vigosar buribit,20,18,20,18,220,1.0,60.0,12.0,20.0,0,20,0.0,msd_target_prefix_v1,591.0999999996275,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407384, ""observed_full_cycle_hz"": 240.00160034407384, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P046,56,control,2,2,1,1,none,uviza dosu edim opuguv lulukum osidoku tapob pidilab febazab esadi osovif irireba sezeter keza mane vemamam everig zutapi eboko okufu denono sazaku rubima etatu eloti lokuma ziri iwisite winig zefe ezug lufidi isiv kubi,uviza dosu edim opuguv,23,19,23,19,219,1.0,69.0,13.799999999999999,20.0,0,23,0.0,msd_target_prefix_v1,846.0999999996275,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.300000000017462, ""mean_frame_interval_ms"": 4.166624999999997, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0024000240004, ""observed_full_cycle_hz"": 240.0024000240004, ""observed_refresh_hz"": 240.0024000240004, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P046,56,masked,3,2,4,4,mask+noise+anti-ocr+inversion,puwizu fugos okewiva ezubufi wizo itib oliwir migezi ofage igawer ewufud inowiku awuzeni itaniwu uboso duwosa kedoguw anirede godim ofilon powuz ogut ilinuda tutin verat afezam efun inafowe apinu arigid dozate elebag ife,puwizu fugos okewiva,21,18,21,18,220,1.0,63.0,12.600000000000001,20.0,0,21,0.0,msd_target_prefix_v1,1335.5999999996275,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 35225, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58534, 58191, 58866, 58409], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00040008601846, ""observed_full_cycle_hz"": 48.000320068814766, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 5, ""permutation"": [1, 2, 3, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P047,57,control,0,1,1,1,none,zobudu ganeb dazade favo veledug umovo ukoper uwini kure ametu vawe ivawe ipega iliduz ogurobu iduvaz erotafe kaba otofag vale onofuf bobo weledef uwona gemi tipot evorel urituk avelof efipel egemik kewide kiwiru anonite,zobudu ganeb dazade favo veledug umobo ukoper,44,38,45,39,220,0.9777777777777777,132.0,26.400000000000002,20.0,1,45,0.022222222222222223,msd_target_prefix_v1,343.59999999962747,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.400000000008731, ""mean_frame_interval_ms"": 4.166638883100646, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407398, ""observed_full_cycle_hz"": 240.00160034407398, ""observed_refresh_hz"": 240.00160034407398, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P047,57,masked,1,1,4,4,mask+noise+anti-ocr+inversion,zalev esow usorog ozutav anubidu biwu ililela nabuniz abaz budum gotobo ofel aguto numuf ralaf obuzis wofira lawuga zudabi nedu bemal ekezazi evura usifimu anat wulevus evumoga kiguvi nolovus zufe wagen nuzetod uluna ufe,zalev esow usorog ozutav anubidu biwu ililela,46,39,46,39,220,1.0,138.0,27.599999999999998,20.0,0,46,0.0,msd_target_prefix_v1,366.8999999985099,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34673, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58425, 58589, 58610, 58376], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166625000000001, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00060000600005, ""observed_full_cycle_hz"": 48.00048000480004, ""observed_refresh_hz"": 240.0024000240002, ""per_cycle_slots"": 5, ""permutation"": [1, 2, 3, 0], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P047,57,masked,2,2,4,4,mask+noise+anti-ocr+inversion,gokusez iwube wepin gira gavos isopa rapo giba zataw vuligas kukur riravid egav erolu afup zigedaf semopir bero neraf ovadar aretepo azepa nifa fetovu duvigup azegero agub fopegi imeki pebem alaruno sofe legubev asew los,gokusez iwube wepin gita gavos isopa rapo,40,34,41,35,220,0.975609756097561,120.0,24.0,20.0,1,41,0.024390243902439025,msd_target_prefix_v1,391.6000000014901,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34719, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58731, 58272, 58598, 58399], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166624999999997, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.0006000060001, ""observed_full_cycle_hz"": 48.00048000480008, ""observed_refresh_hz"": 240.0024000240004, ""per_cycle_slots"": 5, ""permutation"": [0, 1, 2, 3], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P047,57,control,3,2,1,1,none,vopola afor ezavar natuzi mukurez upuliru umatofa tigu rizulef ifit otis opilu sore ozabow pumel vinabeb abawuve sowep etitir nawo irutu ofar upoveka bowudo razaz noro anibar bupid iradu uvosez fedo obeduv mokam lavo lun,vopola afor ezavar natuzi mukurez,34,29,34,29,220,1.0,102.0,20.400000000000002,20.0,0,34,0.0,msd_target_prefix_v1,367.09999999962747,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166618045426126, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00280061613583, ""observed_full_cycle_hz"": 240.00280061613583, ""observed_refresh_hz"": 240.00280061613583, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
