participant_code,accuracy,wpm,first_key_latency_ms
P001,1.2337740966773092,0.6000000000000014,-16.150000000023283
P002,0.0,-1.1999999999999993,-68.74999999988358
P003,-1.724137931034475,-2.6999999999999993,28.399999999906868
P004,4.502493564993559,5.399999999999999,-192.19999999995343
P005,2.6646062271062254,3.3000000000000007,0.3500000003259629
P006,-7.8309078309078295,-2.700000000000003,47.1500000001397
P007,-3.125,-2.700000000000003,128.00000000046566
P008,-2.1739130434782594,-1.5,1232.1499999999069
P009,-1.5151515151515138,-2.400000000000002,-31.74999999953434
P010,4.236111111111118,1.2000000000000028,251.84999999962747
P011,-10.29411764705882,-1.2000000000000028,44.200000000186265
P012,-2.3922902494331044,-1.5,96.04999999934807
P013,-3.3333333333333326,-1.8000000000000007,171.74999999953434
P014,0.10070592557602787,4.5,80.34999999962747
P015,-10.416666666666675,-1.4999999999999964,96.3999999994412
P016,-0.8012820512820484,-6.600000000000001,-1156.2999999998137
P017,-1.5625,-3.899999999999995,-59.950000000186265
P018,-3.935185185185186,0.29999999999999893,1391.3499999996275
P019,-8.31918505942275,-2.1000000000000014,-291.80000000074506
P020,6.487068312058453,3.600000000000005,-387.7500000009313
P021,3.0697258208502554,-0.8999999999999986,-640.8499999996275
P022,5.738709300968614,0.0,-1076.8499999996275
P023,5.641933497536944,-0.8999999999999986,100.5
P024,-14.28160919540231,0.0,325.05000000074506
P025,-12.5,-5.400000000000004,356.1500000022352
P026,-14.645872420262673,-7.799999999999997,-800.1999999992549
P027,-6.735033259423506,-5.699999999999996,-500.4500000011176
P028,-1.851851851851849,-2.3999999999999986,-1023.7000000011176
P029,-8.036890645586304,-2.099999999999998,467.0499999988824
P030,-1.1695293953358443,1.5000000000000036,-288.04999999701977
P031,16.049812966321507,-0.6000000000000014,120.15000000223517
P032,0.24671052631579649,1.2000000000000028,-52.09999999997672
P033,-19.934164934164933,-7.799999999999999,375.30000000004657
P034,6.2805944055944085,2.4000000000000004,91.90000000002328
P035,-5.111111111111111,2.700000000000001,331.95000000018626
P036,-3.0303030303030276,-3.3000000000000007,-704.4499999999534
P037,-1.9230769230769162,-0.8999999999999986,180.30000000004657
P038,0.0,1.2000000000000028,-192.0
P039,-1.4542483660130667,-2.400000000000002,-248.0500000002794
P040,-0.045399515738497875,-4.5,-167.94999999925494
P041,0.0,4.200000000000001,-32.05000000074506
P042,-2.7799227799227832,-1.2000000000000028,141.2000000011176
P043,0.053763440860210565,-0.6000000000000014,148.25000000093132
P044,0.0,-2.6999999999999993,-276.2999999988824
P045,-1.4956281638288105,-6.299999999999997,-363.7500000009313
P046,-8.000000000000007,-0.29999999999999716,-524.7999999998137
P047,-0.10840108401084514,2.399999999999995,-23.90000000037253
P048,2.901304784208758,-2.3999999999999986,-219.9500000011176
P049,-4.325396825396832,-2.999999999999993,-1219.9000000003725
P050,-11.979166666666675,-2.6999999999999993,267.45000000018626
P051,-0.2777777777777768,-2.6999999999999957,-295.7500000009313
P052,0.0,-1.2000000000000028,-328.34999999962747
P053,2.9761904761904767,-1.5,32.15000000037253
P054,0.0,0.29999999999999716,-48.0
P055,13.24741669569256,0.5999999999999979,68.54999999888241
P056,5.827702702702697,1.8000000000000043,-435.8499999977648
P057,0.0,-1.7999999999999972,143.54999999993015
P058,0.0,1.5,-91.60000000009313
P059,-0.7936507936507908,1.4999999999999964,-551.3999999999069
P060,-1.2969771241830075,-1.2000000000000028,415.99999999976717
P061,-3.3986175115207296,-6.600000000000001,-184.10000000009313
P062,-6.0975609756097615,-0.8999999999999986,-176.39999999990687
P063,2.6758658008658065,1.7999999999999972,-1859.0499999998137
P064,1.4705882352941124,1.5,-11.500000000465661
P065,-3.464755077658299,-3.6000000000000014,-692.6000000000931
P066,-1.7813267813267863,-3.6000000000000014,-373.25
P067,1.5151515151515138,-6.299999999999997,-63.70000000030268
P068,9.939665411109988,-2.700000000000003,-515.8500000000931
P069,-2.591591591591591,0.8999999999999986,-34.200000000186265
P070,-1.4705882352941124,-1.1999999999999993,126.0999999998603
P071,-1.6484651034735953,-3.599999999999998,-562.3000000000466
P072,-0.18433179723502668,1.1999999999999957,131.8499999998603
P073,3.073175787728022,-5.3999999999999915,-43.84999999962747
P074,-1.0869565217391353,-2.1000000000000014,-19.649999999441206
P075,1.0052910052910091,-3.3000000000000007,-245.70000000018626
P076,-6.267806267806275,-4.199999999999999,-163.04999999934807
P077,-2.685605156361892,-5.700000000000003,48.950000000186265
P078,0.5886067955033436,3.3000000000000007,924.6999999992549
P079,-4.049719326383316,-7.200000000000003,-264.04999999981374
P080,-1.7857142857142794,-1.5,744.4499999992549
P081,1.2195121951219523,-1.5,344.7499999990687
P082,-3.0303030303030276,-3.6000000000000014,-266.40000000037253
P083,-9.607803292013816,-4.199999999999999,8.949999999254942
P084,-2.832674571805005,-4.500000000000002,-121.40000000037253
P085,-3.4796378072170953,-6.0,204.04999999981374
P086,0.0,-2.100000000000005,4.600000001490116
P087,2.8846153846153966,0.8999999999999986,-600.0500000007451
P088,0.0,0.6000000000000014,-658.4000000003725
P089,-3.663522012578624,3.900000000000002,-24.59999999962747
P090,-4.554079696394686,-0.3000000000000007,342.09999999962747
P091,3.961912888337271,-0.30000000000000426,-24.499999998137355
P092,-0.06847537769576473,-6.299999999999997,-50.0
P093,-3.1527093596059097,-2.6999999999999993,-78.94999999925494
P094,4.137630662020908,2.400000000000002,42.94999999925494
P095,-4.246031746031753,-0.9000000000000057,-102.80000000001746
P096,-2.1739130434782594,-2.400000000000002,256.1500000000233
P097,-1.3513513513513487,0.3000000000000007,-94.69999999995343
P098,-3.529411764705892,1.5,445.60000000020955
P099,1.501633986928097,-5.099999999999998,520.9500000001863
P100,5.568181818181817,1.2000000000000028,12.949999999720603
P101,1.4285714285714235,3.5999999999999943,157.3499999998603
P102,0.6285405294057078,7.105427357601002e-15,90.8499999998603
P103,1.5151515151515138,-1.8000000000000043,13.75
P104,1.6406904642198739,-2.3999999999999986,3.1000000005587935
P105,-8.333333333333325,-3.900000000000002,468.00000000046566
P106,3.396120509607359,0.8999999999999986,-86.95000000018626
